,Category,Document Title,Authors,Publication Title,Publication Year,Abstract,Author Keywords,IEEE Terms,Document Identifier
13,"['Wireless Communication (W)', 'Redundancy and Availability (RA)']",An Evaluation of the Applicability of OPC UA Publish Subscribe on Factory Automation use Cases,"['A. Eckhardt', ' S. MÃ¼ller', ' L. Leurs']",2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA),2018,"In today's factory automation the exchange of data between systems becomes more and more important. The goal is to use one communication technology through all levels of a factory automation. Now the challenge is to find a communication technology that fulfills all the requirements on the different levels. The Server/Client architecture used in OPC UA became the de facto standard for several use cases in the upper levels, but in the lower levels e.g. Control-to-Control and Field level, OPC UA wasn't performant enough to replace today's fieldbus technologies. Therefore the OPC Foundation extended OPC UA by a Publish Subscribe architecture which was released in March 2018 in the OPC UA Specification Part 14. This paper gives an overview of this specification and an evaluation of the applicability of OPC UA communication technologies in combination with Time-Sensitive Networking (TSN) on factory automation use cases.",OPC UA Publish Subscribe;Factory Automation;Communication;Time-Sensitive Networking,Protocols;Manufacturing automation;Synchronization;Encoding;Publish-subscribe,IEEE Conferences
14,"['Performance Analysis (PA)', 'Diagnostic and Monitoring (DM)', 'Integration (I)']",Querying OPC UA information models with SPARQL,"['R. Schiekofer', ' M. Weyrich']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"OPC UA is one of the most important communication protocols for IIoT applications in the automation domain. One important requirement for Industry 4.0 scenarios is standardized semantics, which is introduced into OPC UA through Companion Specifications. Nevertheless, OPC UA still lacks a comfortable interface for accessing these huge graphs, especially on the edge- and cloud-layer. Of course, there is a query language specified for OPC UA. However, to the best of our knowledge, there is no publicly available implementation.In this paper, we will present how SPARQL can be used to query OPC UA graphs natively and also will present rules to transform OPC UA queries into SPARQL queries. Furthermore, we will highlight some issues of OPC UA Query and how they can be bypassed by native SPARQL. Finally, we were able to correctly execute all nine example queries of OPC UA Part 4 Annex B (complex examples) with both approaches.",OPC UA;Query;SPARQL;Information Model;OPC UA Query;OWL;Semantic Web;RDF;RDF(S);Mapping,OWL;Semantics;Database languages;Interoperability;Industries;Resource description framework;Standards,IEEE Conferences
15,"['Integration (I)', 'Protocol Comparison (PC)']",A CoAP-based OPC UA Transmission Scheme for Resource-Constrained Devices,"['Y. Wang', ' C. Pu', ' P. Wang', ' J. Wu']",2020 Chinese Automation Congress (CAC),2020,"The Industrial Internet continuously covers all aspects of smart manufacturing. As an enabling technology for Industrial Internet, OPC UA protocol realizes the information modeling and unified description of industry devices. Furthermore, OPC UA supports data access through Web services based on HTTP. However, the high resource cost of HTTP for resource-constrained devices is hard to afford. The CoAP protocol is specially designed for resource-constrained devices, and it has better suitability in the IoT environment than HTTP. Therefore, an efficient and lightweight transmission scheme, which is applied to realize the transfer of OPC UA messages over the CoAP protocol, is proposed in this paper. Experimental results demonstrate that the proposed scheme realizes the effective transmission of resource-constrained device data through the Web service interface via OPC UA.",Industrial Internet;OPC UA;CoAP;protocol mapping;information model,Protocols;Servers;Standards;Payloads;Data models;Systems architecture;Energy consumption,IEEE Conferences
16,['Product Development (PD)'],A Compliance Testing Structure for Implementation of Industry Standards through OPC UA,"['S. G. Mathias', ' S. Schmied', ' D. Grossmann', ' R. K. MÃ¼ller', ' B. MroÃŸ']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"Information exchange across different departments in factories must be structured and verified for effective production processes. However, any such exchange across networks to clients must be compliant to company standards so that uniformity and security in data dispensation is maintained. Open Platform Communications Unified Architecture (OPC UA) solutions provide users with the flexibility of discharging information through network based protocols. This paper aims to build a compliance testing methodology for external vendors of an organisation who are interconnected with the OPC UA Server-Client Protocols. The structure is built on a host of UA clients that test UA specifications and information models from these vendors. This enables an organisational entity, for example, a manufacturer, to provide its clients, in this case external vendors such as suppliers, with the flexibility of conforming to prescribed standards in a testing phase on an automated digital platform rather than with older methods such as data transfer though databases or documents. An implementation of this approach is presented using example servers created for this purpose. It follows that external vendors can perform compliance testing and possibly improve their standards to match the company standards through remote testing after proper authentication measures provided by OPC UA.",OPC UA;compliance testing;information models;servers;clients,Industries;Protocols;Companies;Conformance testing;Production facilities;Servers;Security,IEEE Conferences
18,"['Wireless Communication (W)', 'Integration (I)']",VSOMEIP - OPC UA Gateway Solution for the Automotive Industry,"['A. Ioana', ' A. Korodi']","2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2019,"The fourth industrial revolution is relying on interoperability and consequently on the Industrial Internet of Things (IIoT) concept. The industry is constantly researching and developing solutions for vertical and horizontal interoperation of systems, some concepts being already well-grounded. One of the main issues is the interfacing. The industry accepted the OPC Unified Architecture (OPC UA) protocol as of high importance for interoperability in the IIoT context. The automotive industry is considered to have a separate path, because of a somehow more rigid approach towards communication and data integration. But, car-to-infrastructure and even car-to-car communication are requiring data exchange and implicitly a newer approach from the automotive industry. Recently, VSOMEIP (Scalable service Oriented MiddlewarE over IP from Genivi) interfacing is more and more present in automotive, its main focus being to assure interoperation between the Electronic Control Units (ECUs). The current paper proposes a VSOMEIP - OPC UA gateway conceptual solution that assures car interfacing in the IIoT context. The proof of concept is implemented regarding AUTOSAR (Automotive Open System Architecture) requirements, using a tailored operating system on an embedded device. In the first case study, the gateway is tested having all OPC UA and VSOMEIP clients and servers implemented and functioning on the device. The second case study presents the connection to an external OPC UA server. The obtained results are proving the effectiveness of the concept.",OPC UA;VSOMEIP;interoperability;IIoT;automotive,Industries;Servers;Automotive engineering;Protocols;Automobiles;Logic gates;Hardware,IEEE Conferences
19,['Product Development (PD)'],Implementation of Energy Data Acquisition Gateway Based on OPC UA,"['J. Shen', ' Y. Fan', ' X. Yan']",2018 IEEE International Conference of Safety Produce Informatization (IICSPI),2018,"In order to solve the problem caused by heterogeneous data communication and non-uniform data specification in energy data acquisition, an energy data acquisition gateway based on OPC UA (OPC unified architecture) technology which supports three protocols of ZigBee, BACnet/IP and KNX is proposed and designed. The IMX287 ARM9 microprocessor and embedded Linux operation system are adopted as the hardware and software platform in this gateway. Also the application, hardware framework and software function framework of multi-protocol gateway are illustrated and the configuration of the gateway is performed based on the embedded Web server. Finally, the standard OPC UA energy data server has been developed. It is proved in practice that the energy data acquisition gateway based on OPC UA can support the conversion from different fieldbus protocols to OPC UA data model, providing a unified data access interface and addressing the heterogeneous communication network.",OPC UA;ZigBee;BACnet/IP;KNX;Energy data acquisition;Embedded Web server,Logic gates;Protocols;Zigbee;Data acquisition;Standards;Hardware;Servers,IEEE Conferences
20,['Product Development (PD)'],Research on Communication Method of OPC UA Client Based on ARM,"['H. Ren', ' Y. Liu', ' H. Wang']",2019 IEEE/ACIS 18th International Conference on Computer and Information Science (ICIS),2019,"The OPC UA standard overcomes many disadvantages of the traditional OPC, and has significant advantages in platform independence, communication security and model construction, thus completing the information exchange under different platforms and interfaces. At present, the automation system equipment has the problems of complex protocols and interfaces and poor portability of industrial computer. To solve this problem, this paper develops the ARM embedded OPC UA client to complete the data communication with the automation system device server by porting the open62541 open source library on the ARM embedded device equipped with the FreeRTOS system. In this research, by building the OPC UA client on the embedded system, the connection and communication with the server are realized, which is also cheap and flexible to use. Experiments show that the system can be used in equipment debugging, field operation and emergency control, and has a wide range of application prospects and practical value.",OPC UA;ARM;Ethernet Communication;Client;FreeRTOS,Servers;Task analysis;Standards;Software;Security;Ethernet;Hardware,IEEE Conferences
21,"['Protocol Comparison (PC)', 'Integration (I)']",Extended gateway model for OPC UA/IoT device integration,"['P. Peniak', ' E. BubenÃ\xadkovÃ¡', ' A. KanÃ¡likovÃ¡']",2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI),2021,"In the paper, we share our research results and experiences with the industrial integration of IoT devices and OPC UA systems, assuming it is one of major enablers for Industry 4.0 use-cases. The main focus is paid on the numerical model of integration gateway, which could enable integration of various IoT devices, embedded and constrained systems, where implementation of full-scale OPC UA protocol is not possible. The goal is to create the appropriate model for OPC UA/IoT device integrations, verify and test it with implemented integration gateway. The gateway implementation scope and testing was concentrated on OPC DA and two major IoT protocols: MQTT and COAP.",IoT;OPC UA;COAP;MTTQ;Broker;Gateway,Protocols;Computational modeling;System integration;Logic gates;Numerical models;Standards;Testing,IEEE Conferences
22,['Performance Analysis (PA)'],Black-Box Analysis of the Publish-Subscribe Notification Latency in Real OPC UA Servers,"['C. Zunino', ' D. Malena', ' G. Cena', ' S. Scanzio', ' A. Valenzano']",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),2021,"Among the many enabling technologies Industry 4.0 relies on, the Industrial Internet of Things is a relevant one that enables both horizontal and vertical integration in modern enterprises, to accomplish complex functions that exploit either cloud or edge processing. In particular, the OPC UA protocol is knowing an ever increasing attention for interconnecting devices, equipment, and facilities in next-generation plants. This work focuses on the characterization of the notification latency in distributed systems that rely on the OPC UA publish-subscribe paradigm for interactions. In particular, starting from a black-box experimental evaluation carried out on real setups, we tried to explain the seemingly peculiar behavior of some popular solutions by means of theoretical models complemented with code inspection.",IIoT;OPC UA;distributed applications;cloud;edge computing,Protocols;Publish-subscribe;Inspection;Libraries;Performance analysis;Servers;Open source software,IEEE Conferences
23,['Product Development (PD)'],An OPC UA-Compliant Interface of Data Analytics Models for Interoperable Manufacturing Intelligence,['S. -J. Shin'],IEEE Transactions on Industrial Informatics,2021,"The open platform communications unified architecture (OPC UA) has received attention as a standard for data interoperability in industries. In particular, OPC UA extends its applicability across various industrial sectors by publishing OPC UA companion specifications created in collaboration with other industrial consortiums. However, OPC UA is limited to ensure the interoperability of data analytics models because the relevant companion specifications have not been developed yet. OPC UA should be extended to implement such model interoperability so that machines seamlessly use and share data analytics models across the layers of manufacturing systems to predict and optimize their performance autonomously and collaboratively in terms of interoperable manufacturing intelligence. This article proposes an OPC UA-compliant interface for the exchange of predictive model markup language (PMML), a domain-independent standard for representing XML-based data analytics models. This article includes the design of mapping rules and OPC UA information models for the exchange between PMML and OPC UA, as well as the implementation of an OPC UA server-client prototype to publish and subscribe to OPC UA-compliant regression and neural network models which have been transformed from PMML-based models.",Cyberâ€“physical production systems;data analytics;manufacturing intelligence;model interoperability;open platform communications unified architecture (OPC UA);predictive model markup language (PMML),Data models;Analytical models;Data analysis;Predictive models;Interoperability;Manufacturing systems,IEEE Journals
24,['Integration (I)'],Collecting Data from Variable Kinematic Machine Tools with OPC UA Protocol,"['G. Martinov', ' R. Pushkov', ' S. Evstafieva']",2022 International Russian Automation Conference (RusAutoCon),2022,"The article deals with the issues of data collection from technological equipment, the kinematics of which change dynamically during the execution of the control program. The structural model is considered and the hierarchical levels of obtaining data from the CNC system using the OPC UA protocol are highlighted on the example of a milling machine. An extension of the information model OPC UA data for the control of machines with dynamic kinematics is proposed. A generalized information model of OPC-UA data has been built with highlighted common and variable components. Implemented a mechanism for obtaining data on the client side when switching the kinematic scheme from using the â€œPublisher-Subscriberâ€ model",technological equipment with variable kinematics;OPC UA;changing kinematics on â€œthe flyâ€;CNC;process data monitoring,Protocols;Automation;Kinematics;Switches;Data models;Sensor systems;Sensors,IEEE Conferences
25,['Product Development (PD)'],OpenModelica OPC UA framework for control applications,"['S. Kumar', ' R. Paknikar', ' N. Sharma', ' K. M. Moudgalya']","2021 9th International Conference on Control, Mechatronics and Automation (ICCMA)",2021,"OpenModelica is a general purpose modeling and simulation platform, extremely useful for modeling and simulation. As it comes bundled with it, an OPC UA server is readily available to all OpenModelica users, without additional installation/configuration work. We deployed this OPC UA server with the OPC UA client, implemented through the Python language in Raspberry Pi. The communication is validated through the control of a first order transfer function. A multi-product batch distillation column was also simulated in this framework. In all of the problems, the results are correct, and as per literature findings.",Open source software;OPC UA server;Batch distillation;Process control;Large scale training;Hybrid system;Networked control systems;Control education,Mechatronics;Automation;Distillation equipment;Education;Transfer functions;Control systems;Servers,IEEE Conferences
26,"['Protocol Comparison (PC)', 'Product Development (PD)']",Development of OPC UA based centralized server Fieldbus data high efficiency transmit architecture,"['H. Gang', ' Y. Zhilou', ' C. Naikuo', ' F. Guirong', ' Z. Lei', ' H. Boyi', ' Q. Shiming']",2020 39th Chinese Control Conference (CCC),2020,"In last few years industrial communication system is one of the most important innovations in factory and process automation systems. Many applications of industrial control are changing as communication technology advances, this also brings new opportunities and challenges to fieldbus system. In this paper, we proposed one new fieldbus data transmit architecture. The proposed architecture includes one OPC UA (OPC Unified Architecture) based centralized server, it used to replace the traditional fieldbus direct connection between fieldbus master station and PLC. The high capacity and high-speed characteristics of OPC UA structure are utilized to realize efficient and high timeliness fieldbus data transmission. Under this architecture, we propose a concept of data converter, it used to provide high compatibility with old and new fieldbus devices to reduce the cost of automation system upgrading. Proposed architecture has obvious advantages in multi PLC joint work environment.",Fieldbus System;OPC UA;PLC;Industrial Automation system,Automation;Servers;Control systems;Process control;Protocols;Computer architecture,IEEE Conferences
27,"['Performance Analysis (PA)', 'Product Development (PD)']",Real-time capable OPC-UA Programs over TSN for distributed industrial control,"['C. EymÃ¼ller', ' J. Hanke', ' A. Hoffmann', ' M. Kugelmann', ' W. Reif']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"A key aspect of Industry 4.0 is the continuous interconnectedness of components. The standardized industrial communication protocol OPC UA offers a solution to this problem by enabling the exchange of data between the shop floor level and the inter-enterprise level. Due to the integration of the Time Sensitive Network (TSN) into OPC UA, it is now even possible to exchange information in real-time. Especially on the shop floor, there are numerous heterogeneous distributed devices from sensors to robots which must communicate with each other in real-time to achieve a distributed industrial control. Therefore, we propose an approach to combine real-time communication over TSN with OPC UA Programs to synchronize multiple distributed OPC UA Programs and exchange process data between them without losing real-time guarantees. This can be seen as the enabler of Plug-and-Produce with real-time requirements.",OPC UA Programs;OPC UA PubSub over TSN;Time-Sensitive Networking;Skills;Plug-and-Produce,Protocols;Service robots;Process control;Robot sensing systems;Real-time systems;Topology;Sensors,IEEE Conferences
28,"['Wireless Communication (W)', 'Protocol Comparison (PC)', 'Diagnostic and Monitoring (DM)', 'Others (O)']",Construction of Industrial Internet of Things Based on MQTT and OPC UA Protocols,"['H. Shi', ' L. Niu', ' J. Sun']",2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),2020,"At present, the Internet of Things has become a hot area of global concern and is considered to be another major scientific and technological innovation after the Internet. The Internet of Things can be analyzed from two aspects, one is to access the Internet, and the other is the connection between things. The Industrial Internet of Things, as a new type of industrial ecosystem, collects resources and data during the industrial production process by using miniature low-cost controllers and high-bandwidth wireless networks to achieve flexible configuration of manufacturing raw materials and improve resource utilization. The Industrial Internet of Things not only includes traditional software elements, but also requires hardware controllers and sensors, as well as cloud service platforms, to ultimately achieve intelligent manufacturing. The Industrial Internet of Things based on MQTT adopts the method of upper computer (WeChat applet) + server (Alibaba Cloud Server) + lower computer (WiFi module ESP8266 NodeMcu) to realize data collection and control of industrial production process. Based on OPC UA protocol, The Industrial Internet of Things, by designing an intelligent node device based on embedded Linux system, uses Qt to build the OPC UA protocol. OPC UA is a C / S architecture real-time database framework. By building an OPC UA Client on a handheld terminal device, An OPC UA Serve is set up on the smart terminal device, and the information collected by the handheld terminal is sent to the smart terminal. At the same time, multiple smart terminals are connected through the OPC UA protocol to perform data interaction and information transfer. At the same time, an edge computing algorithm is embedded in the smart terminal, and a large amount of data collected is processed for analysis, screening, and calculation. At the same time, the processed information is transmitted or processed. Reduce data interactions between data sources and data centers, and reduce the amount of information transmitted and stored.",Industrial Internet of Things;OPC UA;MQTT,Protocols;Servers;Internet of Things;Tools;Sensors;Process control;Cloud computing,IEEE Conferences
29,['Theory (T)'],Communication interface specification in OPC UA,"['D. Strutzenberger', ' T. FrÃ¼hwirth', ' T. Trautner', ' R. Hinterbichler', ' F. Pauker']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"Due to its modeling capabilities, platform independence, and extendability, Open Platform Communications Unified Architecture (OPC UA) is considered to be the main candidate for a so-called â€œenabling technology for industry 4.0â€. However, the engineering effort for OPC UA applications, in particular the server, is very high as the process of information modeling and linking the resulting model to real-world data is complex and time-consuming. This significantly limits the spread of OPC UA in manufacturing and other domains.This paper presents an approach towards extending OPC UA in a way such that information necessary for the OPC UA server application to access the underlying system can be specified in the information model. This is achieved by defining communication interfaces for all nodes of the information model that represent readable or writable data. The handling of the interfaces needs to be implemented in code only once and from then on they can be modeled, rather than implemented for each node individually. Thus, the implementation effort of OPC UA servers is reduced. Different modeling approaches for communication interfaces are presented and compared.",OPC UA;communication interface;web service,Unified modeling language;Servers;Data models;Web services;Robots;XML,IEEE Conferences
30,['Security (S)'],Secure Onboarding of IIoT Devices using OPC UA,"['F. KohnhÃ¤user', ' S. GrÃ¼ner', ' J. Heuschkel']",2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),2022,"In todayâ€™s Industrial Internet of Things (IIoT), a broad range of communication protocols are utilized. Built-in security mechanisms enable these protocols to protect communication and defend against network attacks. However, before IIoT devices can utilize these security mechanisms, they need to be securely onboarded in the network. Although several onboarding solutions exist, there is no widely applicable and easy solution for all protocols. Thus, owners of IIoT devices must currently perform multiple processes until they can securely use a device in operation, which requires a high amount of manual effort and onboarding infrastructure.In this work, we present a generic secure onboarding solution for a broad range of network protocols based on OPC UA. OPC UA is particularly suited for this task, as it is one of the most widespread IIoT protocols and one of few protocols whose standard defines a secure onboarding. Our solution leverages the OPC UA onboarding process to equip other IIoT protocols with the initial trust and credentials to establish secure connections. To this end, only minor extensions to the OPC UA implementation on devices are necessary, such that device owners can reuse their OPC UA onboarding infrastructure without any modifications. As a proof of concept for our solution, we demonstrate the secure onboarding of an HTTPS web server. Our implementation fully reuses the reference implementation OPC UA sample server as infrastructure and only needs minor extensions to the IIoT device.",OPC UA;secure onboarding;Industry 4.0,Performance evaluation;Protocols;Authentication;Web servers;Security;Task analysis;Standards,IEEE Conferences
