Title,Abstract
A Novel OPC UA PubSub Protocol Binding Using MQTT for Sensor Networks (MQTT-SN),"In this paper, we present the integration of MQTT for Sensor Networks (MQTT-SN) into OPC Unified Architecture (OPC UA) as a novel publish/subscribe (PubSub) protocol binding in order to enhance the industrial communication stack. By leveraging the lightweight MQTT-SN protocol, which is currently not considered in the architecture, we improve OPC UA's capability for high-frequency, low-latency messaging, which is essential for Industrial Internet of Things (IIoT) applications. We discuss related work and describe the design and implementation in detail. Our hybrid approach combines the rich data modeling and security capabilities of OPC UA with the communication efficiency of MQTT-SN, providing a scalable solution for real- time data management in industrial automation systems."
Experimental Platform for Testing Open Process Automation Technologies Based on OPC UA and IEC 61499,"This paper presents a process control system platform for testing Open Process Automation technologies and Industrial Internet of Things attributes. The platform comprises a temperature process and two controllers running a distributed IEC 61499 function blocks application. The OPC UA protocol is used for the data exchange between the devices, with the definition of an information model. A test was performed by connecting an external client to the platform to monitor and control the process variables. By combining the IEC 61499 distributed control applications with the OPC UA protocol, the setup is used to assess the attributes of interoperability, modularity and application portability."
Research on Data Acquisition and Remote Monitoring System Based on Digital Twin and OPC UA Technology,"Addressing the challenges of inconsistent communication protocols of underlying manufacturing equipment, difficulty in data collection integration, and low degree of remote real-time visualization monitoring in the production process of intelligent manufacturing lines, a data collection and remote monitoring system based on digital twin technology and OPC UA technology is being researched. Based on the twin model of the intelligent manufacturing line and the OPC UA client-server architecture, the overall framework of the data collection system and remote monitoring system is designed; the key technologies for implementing this system are researched, namely, multi-dimensional modeling technology oriented to digital twins, data collection technology based on OPC UA, and remote monitoring technology with two and three-dimensional collaborative representation. Based on these technologies, the virtual-real mapping of the physical production line and the virtual model within the digital twin platform is realized, completing the data collection and cloud storage of each manufacturing equipment in the production line and the remote monitoring of the two-dimensional visualization panel and three-dimensional model collaborative representation in the virtual environment."
Implement of Data Communication in Smart Factory with OPC-UA Architecture,"In response to the increasing demand for information collection and data communication in automated control devices in an intelligent manufacturing factory, this paper proposes an OPC UA-based intelligent communication method for factory automation and discusses its communication principles and network architecture in detail. This paper also explores the integration of OPC UA with devices such as industrial robot ROS systems and sensor-embedded systems and introduces a Python-based data communication program design method. Ultimately, this paper successfully develops an MES robot monitoring module based on the OPC UA architecture and conducts a case study. The practical application results show that OPC UA-based data communication technology has high versatility and compatibility, and can effectively achieve data integration and unified management of intelligent workshop equipment information. This technology has broad application prospects and promotional value, providing a useful reference for the information construction of intelligent manufacturing factories."
Application of AutomationML/OPC UA in Robot Interoperability,"This paper focuses on the application of AutomationML (AML) and Open Platform Communications Unified Architecture (OPC UA) in robot interoperability, aiming to promote the intelligence and interoperability of production systems in the era of Industry 4.0. By analyzing the current challenges of industrial robot interoperability, especially in terms of data standardization, a robot system architecture is proposed to improve the compatibility and information exchange efficiency between different types of robots. Research methods include system architecture design, integration of AML and OPCUA methods, and their empirical application in real-world manufacturing environments. The results confirm the feasibility and practicability of the method in the application of industrial robots, and give different devices higher interoperability and flexible response ability. It provides a theoretical basis and practical guidance for the development of intelligent manufacturing systems in the future, and has important practical significance and application value in improving the level of industrial digitalization and intelligence."
Ontology Mapping-Based Semantic Reasoning with OPC UA for Heterogeneous Industrial Devices,"The advent of smart manufacturing in Industry 4.0 signifies the arrival of the era of connections. As an excellent communication protocol, Object linking and embedding for Process Control Unified Architecture (OPC UA) can address most semantic heterogeneity issues. However, its semantics are not formally defined at the application layer. To address the information silo problem caused by semantic heterogeneity, a method named Querying of Ontology Mapping-based OPC UA (QOMOU) is proposed. It extracts the information models of OPC UA servers into resource description framework triples, utilizes web ontology language for semantic enrichment and inference, and employs a semantic similarity model for event ontology mapping to improve query efficiency. The method's effectiveness is validated through functional queries using the SPARQL protocol in Apache Jena. The query efficiency is 5% higher on average compared to both structured query and extensible markup languages. Moreover, by employing a keyword-matching algorithm, the query accuracy of the existing heterogeneous data integration scheme is improved by 4% on average. This enhancement can boost the operational efficiency of Internet of Things systems based on the OPC UA architecture."
Extending the OPC UA Companion Specification for an IEC 61499-based Control System,"The IEC 61499-based distributed control model is gradually gaining popularity among the stakeholders involved in the field of cyber-physical production systems. Integration of IEC 61499 with the Open Platform Communication Unified Architecture (OPC UA) will ease the effort required for horizontal as well as vertical integration of distributed control applications. In our previous work, we mapped the function block model and the application model of the IEC 61499 standard to OPC UA. This work-in-progress paper is intended to be an extension of our previous work that demonstrates the mapping of the resource, device, and the system model to OPC UA."
LoRaWAN Sensors Integration for Manufacturing Applications via Edge Device Model with OPC UA,"The article deals with the integration of Lo(ng) Ra(nge) Wide Area Network (LoRaWAN) sensors with generic manufacturing applications and Industrial Internet of Things (IIoT) use-cases. The focus is on creating a suitable Edge device model that enables the integration of specific Long Range (LoRa) sensors together with the other generic Internet of Things (IoT/IIoT). The model is based on the Open Platform Communications Unified Architecture (OPC UA) standard, which is the most suitable integration platform for various control systems and manufacturing applications. The model was implemented in Node-RED software and subsequently validated to confirm the required integration of LoRaWAN sensors within OPC UA models. In contrast to other approaches based on integration gateway or LoRaWAN/OPC UA protocol convertors, the proposed model utilizes extended capabilities of Edge computing. It enables Edge processing and data transformation of LoRaWAN sensors data transferred by Message Queuing Telemetry Transport (MQTT) protocol from the network server, based on requirements of manufacturing applications for cloud solutions."
Distributed System with OPC UA and Industrial Internet for IEC 61499 Function Blocks,"This paper presents as a contribution an Industrial Internet system that enables the distributed execution of assembly and counting of industrial parts, using Function Blocks of Standard IEC 61499, which normally occurs in a centralized way. The Function Blocks run on microcontrollers that communicate via the OPC UA (Open Platform Communications Unified Architecture) protocol with the Factory I/O, a 3D factory simulation software, which operates on an end device. Experiments were carried out to measure the latency obtained with the OPC UA and the results confirm that the solution does not add delays that affect the application's operation."
"Mapping of OPC UA FX to the Asset Administration Shell and Capability, Skill and Service Model","The current research trends in the field of manufacturing process optimization tackle the question of how to realize manufacturer-independent flexible manufacturing through the standardization of various technologies. Through the combination of Open Platform Communication Unified Architecture Field eXchange (OPC UA FX), the Asset Administration Shell (AAS) and the Capability, Skill, and Service model (CSS model) an automated reconfiguration of real-time capable communication in an industrial environment can be achieved. This paper presents an approach for the first steps of implementation of this concept. First the requirements are discussed which are needed to enable the concept. Then possible AAS submodels that fulfill these requirements are presented. Based on this discussion an example using a linear axis with a movement functionality is modelled in the AAS using the Asset Interface Description (AID) submodel and in the OPC UA information model for evaluation of the approach. Enabling an on-the-fly reconfiguration of real-time capable communication allows for optimization and faster reaction to changes in production demands."
Automatic Information Model Generation for Industrial Edge Applications Based on IEC 61499 and OPC UA,The Industry 4.0 and Industrial Internet provides vertical and horizontal integration between edge devices and industrial cloud platforms. A flexible and interoperable information model is crucial for enabling device-level intelligence as well as cloud-edge collaboration. Deep integration between the control and information model is necessary for supporting closed-loop optimization between the cloud and edge devices. This article proposes an automatic information model generation method based on the IEC 61499 and OPC unified architecture standards. Model transformation rules between two models from design time to runtime are presented. A discrete manufacturing case study is used to prove that the proposed method can significantly reduce the development time for distributed information models. The integrated control and information models at runtime can provide strong support for dynamic reconfiguration to address changing requirements.
OPC UA Implementation for Industrial Automation - Part 2: Integrating PubSub Model with TSN,"The advent of Industry 4.0 has brought out a new era of automation, highlighting the importance of seamless integration and interoperability across diverse systems in industrial environments. To facilitate efficient and secure data exchange, the OPC UA (Open Platform Communications Unified Architecture) has emerged as a standardized communication framework in industrial automation. However, the traditional Ethernet-based infrastructure utilized for OPC UA cannot meet the stringent real-time requirements of time-critical applications. In industries relying on motion control applications like robotics or automated manufacturing, fast machine-to-machine communication is crucial. These applications demand precise and rapid data exchange to ensure the smooth and coordinated movement of machines. To address this challenge, it is crucial to assess the performance of the newly introduced Time-Sensitive Networking (TSN) implementation and verify its ability to meet the requirements for critical industry applications. In this view, this paper implements OPC UA by integrating the OPC UA PubSub (Publisher-Subscriber) model with TSN. TSN represents a set of standards developed to enable deterministic and low-latency communication over Ethernet networks. Experimental results provide clear evidence that the combination of OPC UA with TSN improves performance, making it well-suited for demanding real-time applications."
On the integration of OPC UA over Wired – Wireless Time Sensitive Networking,"This paper deals with the integration of OPC UA over Wireless / Wired (Hybrid) Networks with Time Sensitive Networking (TSN) capabilities. We propose a HW/SW device architecture, based on the SHARP platform, to enable the integration of OPC UA and Hybrid TSN. The integration includes both the OPC UA Client/Server and PubSub mechanism. Based on the device architecture, we built a HW testbed that integrated Hybrid TSN and OPC UA to assess its performance. The results demonstrate that the network can provide seamless application interoperability and that can satisfy the traffic needs in a typical industrial setup. However, the paper also highlights that there is still significant research to be done to achieve deep integration between OPC UA and Hybrid TSN."
Development and Use of OPC UA Tools for Data Collection and Monitoring of Technological Equipment,"The aim of this research is to develop a specialized system for collecting and storing CNC machines data considering the possibilities of innovative technologies of OPC UA protocol, in this work an OPC UA information model was proposed and realized in OPC UA server which reflects the logical structure of a CNC machine. This research will present a collecting data method from the digital shadow of CNC system where a complete set of parameters hierarchically structured and transmit the whole set of these parameters through the OPC UA server to production data collection cloud for performing subsequent analyzing, forecasting the state of technological equipment and performing simulation procedures."
Adopting OPC UA for Efficient and Secure Firmware Transmission in Industry 4.0 Scenarios,"In the realm of Industry 4.0, the Open Platform Communications Unified Architecture (OPC UA) enables secure and efficient communication among diverse industrial machines. This paper explores the potential of OPC UA, specifically its File Transfer mechanism, for secure inter-company firmware transmission: in particular, we implement a design that authorizes an Automatic Test Equipment (ATE) to download a firmware from a remote server for On-Board Programming (OBP). Our approach harnesses the inherent strengths of the protocol — robust data integrity, encryption, and authentication — to achieve a “secure by design” solution. This enhances firmware transmission and introduces a valuable use case for the OPC UA community, particularly those exploring File Transfer capabilities. We implemented our solution with the open-source OPC UA-.NETStandard library and evaluated it with the OPC UA Exploitation Framework to identify and address potential vulnerabilities. This paper showcases the real-world effectiveness and scalability of the OPC UA File Transfer mechanism, paving the way for secure and efficient collaboration in Industry 4.0."
A Proposal for OPC UA Companion Specification for IEC 61499 Based Control Application,8
Evaluation of Hardware-in-the-Loop-based Converter/Inverter Digital Twins for Microgrids Using the OPC Unified Architecture Platform,"This paper compares the average output error rates of the information models of converters/inverters based on actual microgrid equipment with those designed using Hardware-in-the-Loop (HIL). The microgrid environment implemented at the Mirae building of Seoul National University of Science and Technology was virtually designed using HIL, and Open Platform Community Unified Architecture (OPC UA) information models were employed to digitalize the converters/inverters of each microgrid as virtual assets. The microgrid environment designed in HIL equipment consists of three batteries, three converters, two inverters, a photovoltaic (PV) system, and the Mirae building load including three EV chargers. To verify the similarity between the actual and simulated microgrid, a scenario was executed where the batteries were charged and discharged at 20 kW, 0 kW, and -20 kW in 10-minute intervals. The average error rates of the output power of the converters/inverters information models implemented via OPC UA ranged from a minimum of 0.38% to a maximum of 9.60%. Consequently, it was verified that the Mirae building digital twin, designed based on HIL and OPC UA, can operate similarly to the actual environment, ensuring an average error rate below 9.60%."
ML-Based Synthetic OPC UA Traffic Generation for Covert Channel Transmission,"This paper presents a novel approach for generating synthetic OPC UA traffic using a hybrid model that combines Variational Autoencoders (VAE) and Long Short-Term Memory (LSTM) networks to address the cybersecurity challenges in industrial automation systems. The Open Platform Communications Unified Architecture (OPC UA) is widely adopted for its versatility and secure data exchange capabilities across various sectors. However, the sensitive nature of OPC UA data traffic presents significant challenges in cybersecurity, particularly concerning covert channel attacks. These attacks exploit legitimate communication protocols to stealthily transmit information, leading to potential data breaches and unauthorized access. By creating realistic, privacy-preserving synthetic data, the model facilitates the analysis and detection of covert channel attacks—stealthy methods used to transmit unauthorized information through legitimate communication protocols. This approach not only provides a valuable dataset for researchers but also supports the development and evaluation of robust mitigation strategies without the need for sensitive real-world data. Demonstrating the model's effectiveness through the successful embedding of covert messages, this work paves the way for enhanced security measures in OPC UA networks and contributes significantly to the field of industrial cybersecurity."
Performance Evaluation of OPC UA and MQTT for ETAT Smart Lab (ESL),"The Eastern Economic Corridor (EEC) serves as a key and central strategic initiative within the broader Thailand 4.0 framework. The ETAT project aims to establish dedicated engineering education and training centers for participating universities, providing essential support and skills development opportunities for engineers and young professionals. As one of the project partners, Rajabhat Rajanagarindra University (RRU) has undertaken the development of the ETAT Smart Lab to design a smart agricultural system that incorporates the Internet of Things (IoT), programmable logic controllers (PLCs), and Raspberry Pi. In this study, we focus on the ETAT Smartlab environment, specifically on the task of transferring data from RS-485 Modbus sensors to the PLCnext platform using both OPC UA and MQTT protocols. Our method for evaluating performance in this context focuses on measuring the time stamp differences between the source and destination endpoints. The research shows that the OPC UA protocol provides superior performance for transmitting sensor data to ETAT Smart Lab."
Smart Manufacturing Integration of Heterogeneous Information Systems via OPC UA. A Case Study,"Modern automation, digitalization, virtualization, and intelligent production impose new criteria and approaches to process management. The operation and performance of any system and device depend on how it is managed. The article describes Smart Manufacturing Integration of Heterogeneous Information Systems via OPC UA. The main goal is the development of heterogeneous information systems with real applications, with which reliable and up-to-date information can be exchanged between systems of different hierarchical levels. The goal was achieved with the following steps i) building the research infrastructure ii) analyzing the information compatibility and challenges in integrating systems from different hierarchical levels, and iii) implementing the integration by means of the OPC-UA standard communication protocol. The setup has been tested under laboratory conditions. The obtained results are shown."
Implementing OPC UA architecture using open62541,"In the field of industrial automation, the diversity of products and protocols poses significant challenges for system integration. OPC UA (Open Platform Communications Unified Architecture) is a standardized communication protocol that aims to unify and support interoperability among various systems and devices. This paper explores the applications and challenges of Open62541 in implementing OPC UA. It discusses the implementation of the server/client and publish/subscribe communication models within OPC UA. By comparing these communication models, this paper provides insights into their respective advantages and limitations. Ultimately, Open62541 offers a reliable and flexible solution for addressing system integration issues in industrial automation."
A Mini Review on the utilization of Reinforcement Learning with OPC UA,"Reinforcement Learning (RL) is a powerful machine learning paradigm that has been applied in various fields such as robotics, natural language processing and game playing achieving state-of-the-art results. Targeted to solve sequential decision making problems, it is by design able to learn from experience and therefore adapt to changing dynamic environments. These capabilities make it a prime candidate for controlling and optimizing complex processes in industry. The key to fully exploiting this potential is the seamless integration of RL into existing industrial systems. The industrial communication standard Open Platform Communications Unified Architecture (OPC UA) could bridge this gap.However, since RL and OPC UA are from different fields, there is a need for researchers to bridge the gap between the two technologies. This work serves to bridge this gap by providing a brief technical overview of both technologies and carrying out a semi-exhaustive literature review to gain insights on how RL and OPC UA are applied in combination.With this survey, three main research topics have been identified, following the intersection of RL with OPC UA. The results of the literature review show that RL is a promising technology for the control and optimization of industrial processes, but does not yet have the necessary standardized interfaces to be deployed in real-world scenarios with reasonably low effort."
Run-time Configuration of the IEC 61499-based PLC-Service Bus via OPC UA,"Modern industrial automation applications require a flexible and modular software architecture that can be easily adapted to meet dynamic market requirements. The IEC 61499-based programming model, due to its distributed and modular nature, could be a potential tool in this regard. In our previous works, we proposed the concept of a PLC-Service bus, a service-oriented architecture-based control application development paradigm for the Programmable Logic Controller (PLC). We have also demonstrated its applicability using the IEC 61499 modelling language. In this paper, we propose an OPC UA-based configuration approach for software components of the PLC-Service bus."
Design and Implementation of Redundant Configuration of Communication Monitoring System Based on OPC UA,"This paper tackles the growing issue of cyber-attacks on control systems, mainly through Advanced Persistent Threats (APTs), which are sophisticated, targeted attacks that can seriously damage systems. With control systems increasingly adopting the OPC UA for secure communication, introduces a new system designed to improve the availability of these control systems without compromising security."
Documenting and Comparing OPC UA Information Models,"Since its release as an IEC standard series, the OPC Unified Architecture (OPC UA) has become a widely adopted platform for both vertical and horizontal communications as well as data exchange in cyber-physical systems (CPS). A key benefit of OPC UA is its extensible object model, which offers the possibility to define custom information models, which may represent a specific production domain. As these generally represent interfaces for other applications, comprehensible documentation is an essential requirement in most cases.In this paper, we describe an approach to document, maintain and compare versions of OPC UA information models generated from existing code artifacts in the domain of serial machinery engineering. Base for the contribution of this work is the prototype of a documentation and model comparison tool (NodeDoc). We will describe its usage context and requirements as well as its main features. In addition, we discuss encountered challenges and provide insights into proposed solutions along with relevant lessons learned during the development of NodeDoc."
Integration of 5G and OPC UA for Smart Manufacturing of the Future,"The Industry 4.0 is aimed at improving production efficiency and flexibility using automation and data exchange technologies, wherein all participants and components must cooperate and communicate seamlessly. To achieve this target, a flexible, interoperable and real-time communication network is required. Considering such an imperative requirement, in this work we aim to integrate the 5G wireless network with Open Platform Communication Unified Architecture (OPC UA), in order to fulfil the stringent communication requirements regarding information model-based data management. Specifically, we first develop a 5G & OPC UA architecture to support the operations of diverse smart manufacturing environments, and then provide specific technical guidelines for implementing the established system. Finally, the feasibility of the proposed 5G & OPC UA architecture is verified using a laboratory-level smart manufacturing testbed."
Exploiting OPC-UA for Model-Based Design in IEC61499 Industrial Controller Development,"Industry 5.0 integrates human-centric principles into manufacturing, emphasizing collaboration between humans and machines. Model-based design (MBD) facilitates efficient product development, enabling rapid prototyping, streamlined iterations, and enhanced communication among multidisciplinary teams, thereby accelerating time-to-market and ensuring product quality. In this context, IEC 61499 standard complements MBD design methodologies by providing a framework for structuring and implementing distributed control systems, facilitating seamless integration of models into industrial automation workflows. This paper explores the integration of Open Platform Communications Unified Architecture (OPC-UA) into the MBD process within the context of IEC 61499 industrial controller development. By leveraging OPC-UA's standardized communication protocol, we demonstrate how it enhances interoperability and facilitates seamless integration of models into the controller development workflow. The usage of the standardized communication protocol provided by OPC-UA improves interoperability and allows for seamless model integration into the controller development workflow. We apply this approach to the design of a real-application and present an experimental result demonstrating the effectiveness and reliability of the proposed approach in practical scenarios. The communication delay introduced between the model of the plant and the IEC 61499 controller is less than 60 ms. This result is fully compatible with non-time sensitive process automation applications, where the control loop time is larger than one second. Our findings underscore the efficacy of this approach, highlighting its potential to advance industrial automation systems' efficiency and flexibility."
Case study on Integrating Legacy Devices in Industry 4.0 framework using OPC UA,"Legacy devices refers to outdated electronic equipment for which the manufacturer has discontinued firmware updates. Many PLC devices have become obsolete and are unsupported by newer software. It is very expensive to fully replace these devices. This is where OPC UA serves as a solution. Open Platform Communication Unified Architecture (OPC UA) is an open source device to device communication protocol used in Factory Automation. This open interface standard is independent of the PLC manufacturer, the software developer, the operating system or the programming language. The existing communication protocols like profinet, Sercos are organization specific. And these protocols cannot communicate with each other. Also it has many feature limitations like the data cannot be pushed to the cloud and remote operation is not possible. We intend to automate the communication between the legacy devices with Siemens S7-1500 PLC using OPCUA. We are using a Raspberry PI, TIA Portal 14 software in windows PC and an Ethernet connection in-order to Push a data from legacy plc to cloud using OPCUA so it can be operated from anywhere in the world."
Reflection-based Prototyping Framework for OPC UA Servers for Companion Specifications,"Domain-specific Companion Specifications (CS) define OPC UA information models for specific use cases, devices, or industries and define how to use OPC UA in specific environments. A sample OPC UA server is required to evaluate an OPC UA CS and develop clients. Such a server needs to be easily changed on updates of the CS and must ensure that all instances comply with the specified OPC UA types. This paper introduces an OPC UA server prototyping framework that maps OPC UA instances to $\mathbf{C++}$ data types using reflection. Using OPC UA types for instantiation, all created instances comply with the CS. The mapping to $\mathbf{C++}$ data structures provides a simplified API for handling sample instances by enabling users with limited knowledge about OPC UA to build CS-conformant servers. Four use cases show the usefulness of the approach: OPC UA Events, OPC UA PubSub and creating CS compliant servers."
Requirements and Challenges in the Configuration of a Real-Time Node for OPC UA Publish-Subscribe Communication,"Factory automation is evolving from a hierarchical structure towards an interconnected architecture in which systems at different levels can communicate seamlessly with each other. This requires an appropriate replacement of proprietary fieldbus systems in the automation sector. A promising solution to implement cross-plane end-to-end real-time capable communication between computing nodes is proposed in literature. The usage of Open Platform Communication Unified Architecture (OPC UA) as the information model with the Publish-Subscribe (PubSub) communication mechanism in combination with Time Sensitive Networking (TSN) is presented to fulfill the requirements for message transmission. In contrast to the state of the art of configuring fieldbus systems, the configuration of such a real-time communication node has to be done manually. This process is complex, as deep knowledge in different domains is required. In this work we elaborate the requirements for such a communication node and present the resulting implementation challenges, which can be used as the basis for a configuration tool."
Towards Extraction of Validation Rules from OPC UA Companion Specifications,"Interoperability is the key to industrial automation. OPC UA aims to provide interoperability between industrial machines at the network, protocol, and semantic layers. In order to achieve it, the implementation of a machine and its nodeset file should comply with the OPC UA standard. However, there are a few areas for improvement in technology to automatically check compliance since the compliance rules/validation rules are expressed in textual format in specification documents. In other words, they are not machine-interpretable. Converting the text-based specification into machine-readable form is a complex problem since each companion specification is domain-specific and written by a set of industry experts from all over the world from diverse language backgrounds. The specifications are majorly unique, with little commonality between them. Because of these reasons, it is challenging to develop a generic information extraction approach to retrieve rules that work for all specifications. In this study, we aim to handle this challenge to extract the textual rules from specifications automatically by applying Natural Language Processing and Machine Learning technologies. We present our methodology based on Named Entity Recognition for OPC UA documents for information extraction and text classification to identify rules. To achieve this goal, we created five named entity data sets from five selected OPC UA companion specifications. The sentences in the data set and the entities in the sentences were annotated by two OPC UA experts. We point out a deeper analysis of the data sets to highlight common and unique entities in them and show their usage in identifying the rules in the specifications."
Assessment of OPC UA PubSub at Scale Using TSN Infrastructure and Network Calculus,"OPC UA PubSub is a recent addition to the OPC UA industry standard used for machine-type communication in the Industrial Internet of Things. It can be combined with Time Sensitive Networking (TSN) to offer deterministic latency and bounded jitter. In this work, we model the network interactions between Credit-Based Shaper (CBS) and PubSub using Network Calculus. We derive worst-case delay bounds for various numbers of hops, payload sizes, and competing flows. The derived bounds are confirmed using deployments on commercial-of-the-shelf hardware and open-source solutions relying on a low-latency Linux kernel. Based on the results, we observe that the derived bounds are satisfied in all scenarios of seven hops with a round-trip-time (RTT) varying between 1 to 2.5 ms for respective payload sizes of 59 to 1481 B. Similarly, for jitter we observe fluctuations of $\pm \mathbf{250}\boldsymbol{\mu} \mathbf{s}$. Complementing the CBS results, we evaluate time-aware shaping, where we observe lower RTTs for average payload sizes of around $800 \mu\mathrm{s}$. Our contributions show that OPC UA PubSub applications can co-exist with TSN."
