Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
Concept for an Energy Data Aggregation Layer for Production Sites A Combination of AutomationML and OPC UA,A. Würger; K. -H. Niemann; A. Fay,"Faculty I - Electrical and Computer Engineering, University of Applied Sciences and Arts, Hannover, Germany; Faculty I - Electrical and Computer Engineering, University of Applied Sciences and Arts, Hannover, Germany; Institute of Automation Technology, Helmut-Schmidt-University, Hamburg, Germany",2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA),25 Oct 2018,2018,1,,1051,1055,"In industrial production facilities, technical Energy Management Systems are used to measure, monitor and display energy consumption related information. The measurements take place at the field device level of the automation pyramid. The measured values are recorded and processed at the control level. The functionalities to monitor and display energy data are located at the MES level of the automation pyramid. So the energy data from all PLCs has to be aggregated, structured and provided for higher level systems. This contribution introduces a concept for an Energy Data Aggregation Layer, which provides the functionality described above. For the implementation of this Energy Data Aggregation Layer, a combination of AutomationML and OPC UA is used.",1946-0759,978-1-5386-7108-5,10.1109/ETFA.2018.8502531,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502531,technical energy management;energy efficiency;AutomationML;OPC UA;aggregation server,Production;Servers;Object oriented modeling;Data aggregation;Automation;Unified modeling language;Energy management,energy consumption;energy management systems;factory automation;manufacturing systems;production engineering computing;production facilities,production sites;industrial production facilities;automation pyramid;Energy Data Aggregation Layer;energy consumption;Energy Management Systems;AutomationML;OPC Unified Architecture,,7,,16,IEEE,25 Oct 2018,,,IEEE,IEEE Conferences,,,
Digital Twins for Manufacturing Using UML and Behavioral Specifications,M. Azangoo; A. Taherkordi; J. Olaf Blech,"Dep. of Electrical Eng. and Automation, Aalto University, Espoo, Finland; Department of Informatics, University of Oslo, Oslo, Norway; Dep. of Electrical Eng. and Automation, Aalto University, Espoo, Finland",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),5 Oct 2020,2020,1,,1035,1038,"Using digital twins, physical manufacturing objects can be virtualized and represented as digital models which are seamlessly integrated in both the physical and the digital space. This allows to simulate, verify and optimize production systems, from the logistical aspects to the manufacturing process and the involved components. A key challenge, in this area, is how to describe digital twins in complex manufacturing systems such that all physical details, processes, and verification needs are modeled at an appropriate and efficient abstraction level, e.g., modeling and detecting divers faults in production processes. To address this challenge, in this paper we present our work on modeling digital twins of manufacturing facilities using UML. UML class diagrams are used to describe static dependencies between entities, as well as to monitor and analyze the dynamic verification and quality aspects of manufacturing such as fault detection and consistency checks. Utilizing the key relevant features of UML in our approach, the designed class diagrams are used and enriched with behavioral models serving as digital twins which can be updated by live data from the manufacturing plant. We present a small example based on simulation programs and a demonstrator. The presented modeling approach and example provide useful insights to UML-based design of digital twins in complex manufacturing systems.",1946-0759,978-1-7281-8956-7,10.1109/ETFA46521.2020.9212165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212165,UML;digital twin;industry 4.0;automation;simulation model;RFID;OPC UA;factory of the future,Manufacturing processes;Digital twin;Unified modeling language;Transportation;Production facilities;Data models;RFID tags,formal verification;manufacturing processes;manufacturing systems;production engineering computing;Unified Modeling Language,digital twins;physical manufacturing objects;digital models;digital space;manufacturing process;complex manufacturing systems;UML class diagrams;behavioral specifications;optimize production systems;manufacturing facilities;behavioral models;manufacturing plant,,7,,16,IEEE,5 Oct 2020,,,IEEE,IEEE Conferences,,,
A systematic top-down information modelling approach for workshop-type manufacturing systems,S. Schmied; D. Großmann; B. Denk,"Zentrum für Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum für Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Digitalisierung Geschaeftsprozesse, AUDI AG, Ingolstadt, Germany",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,1305,1308,Workshop-type manufacturing systems grow over time and therefore they have heterogeneous communication interfaces. Digitalization can be an enabler to lowering their costs and improving their performance. This can be facilitated with the introduction of common information models. But the widespread introduction of information models in such manufacturing environments is entailed with significant efforts and risks. This paper describes how existing workshop-type manufacturing environments can be documented in such a way that they can subsequently be reproduced in an OPC UA information model.,1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8869377,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869377,OPC UA;information modelling,Manufacturing systems;Object oriented modeling;Unified modeling language;Documentation;Organizations,manufacturing systems;production engineering computing,systematic top-down information modelling approach;workshop-type manufacturing systems;heterogeneous communication interfaces;OPC UA information model,,7,,11,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,,
An Efficient Configuration Scheme of OPC UA TSN in Industrial Internet,Z. Zhou; G. Shou,"Beijing Key Laboratory of Network System Architecture and Convergence School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing, China; Beijing Key Laboratory of Network System Architecture and Convergence School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing, China",2019 Chinese Automation Congress (CAC),13 Feb 2020,2019,,,1548,1551,"TSN plays an important role in industrial Internet due to its bounded low latency and high reliability. In order to have TSN worked in practical applications, it is urgent to study the configuration of TSN. Based on the standard of IEEE 802.1 Qcc, we propose a configuration scheme of OPC UA TSN, describe the functionality and procedure of the scheme in detail. We verify that our configuration scheme can satisfy the bounded delay requests of periodic time-sensitive data flows.",2688-0938,978-1-7281-4094-0,10.1109/CAC48633.2019.8996369,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8996369,Time-Sensitive Networking;OPC UA;Industrial Internet;configuration,Delays;Switches;Standards;Real-time systems;Protocols;Jitter;Job shop scheduling,Internet;production engineering computing,IEEE 802.1 Qcc;efficient configuration scheme;industrial Internet;OPC UA TSN;periodic time-sensitive data flows,,7,,11,IEEE,13 Feb 2020,,,IEEE,IEEE Conferences,,,
Integration of Robot and IIoT over the OPC Unified Architecture,H. -I. Lin; Y. -C. Hwang,"Graduate Institute of Automation Technology, National Taipei University of Technology, Taipei, Taiwan; Graduate Institute of Automation Technology, National Taipei University of Technology, Taipei, Taiwan",2019 International Automatic Control Conference (CACS),5 Mar 2020,2019,,,1,6,"Cloud technology uses the main function of IoT (Internet of Things) devices to quickly transfer huge amounts of data because data must be transmitted efficiently and efficiently among equipments. IoT enables smart devices to collect and share data without manual assistance. Compared to IoT, IIoT (Industrial IoT) technology is used for industrial purposes, but common industrial communication protocols such as Modbus TCP and Profinet only provide real-time data and cannot provide safe and reliable historical data. The OPC unified architecture (OPC UA) overcomes the above shortcomings and changes the entire industrial communication protocol and resolves the issue of object-oriented concepts. Other IoT protocols such as RTI DDS and MQTT do not emphasize the integration of industrial equipments. In this paper, we provide a solution enabling the smart robotic arm (Staubli) to convert its original communication protocol (SOAP/WSDL) into the role of an OPC UA server. This solution is successfully integrated in ERP/MES manufacturing production systems. The proposed method can help basic IoT robots be seamlessly embedded in ERP/MES manufacturing systems. We demonstrated how the OPC UA cloud computing platform worked. When a PCB color image was uploaded from the client, the OPC UA server processed it by the Gaussian blur and Canny filters and then returned the processed image to the client in a gray-scale image.",,978-1-7281-3846-6,10.1109/CACS47674.2019.9024732,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024732,IoT;Industrial IoT;OPC UA;robot,Cloud computing;Simple object access protocol;Protocols;Servers;Industries;XML;Robots,cloud computing;enterprise resource planning;industrial manipulators;Internet of Things;manufacturing systems;production engineering computing;protocols,OPC unified architecture;cloud technology;Internet of Things;smart devices;IIoT technology;Industrial IoT;Modbus TCP;industrial communication protocol;object-oriented concepts;IoT protocols;industrial equipments;smart robotic arm;OPC UA server;OPC UA cloud computing platform;IoT robots,,6,,12,IEEE,5 Mar 2020,,,IEEE,IEEE Conferences,,,
Modelling Industrial Cyber-Physical Systems using IEC 61499 and OPC UA,W. Dai; Y. Song; Z. Zhang; P. Wang; C. Pang; V. Vyatkin,"Shanghai Jiao Tong University, China; Shanghai Jiao Tong University, China; Shanghai Jiao Tong University, China; Chinese Academy of Science, Shenyang Institute of Automation; Zhuxi Wisdom Valley, Jiangmen Goobotics Research Institute, Jiangmen, China; Luleå University of Technology, Sweden and Aalto University, Finland",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),27 Sep 2018,2018,,,772,777,"Industrial Cyber-Physical Systems (iCPS) are considered as the enabling technology for achieve Industry 4.0. One main characteristic of the iCPS is the information transparency to allow interoperability among various devices and systems. The OPC UA provides a common information model for connecting Industry 4.0 components. On the other hand, the IEC 61499 is commonly used as an executable modeling language for iCPS. The IEC 61499 function block network provides an abstract view of the system configuration. By combining IEC 61499 and OPC UA, a visual executable model for iCPS is completed. In this paper, the mapping between two standards are provided and a case study of the proposed mapping is given.",2378-363X,978-1-5386-4829-2,10.1109/INDIN.2018.8472099,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472099,Industrial Cyber-Physical Systems;Executable Modelling Language;IEC 61499 Function Blocks;OPC-UA;Interoperability,IEC Standards;Sockets;Plugs;IEEE Senior Members;Indexes;Cyber-physical systems;Interoperability,cyber-physical systems;factory automation;IEC standards;open systems;production engineering computing,OPC UA;common information model;executable modeling language;iCPS;IEC 61499 function block network;system configuration;visual executable model;information transparency;industrial cyber-physical systems modelling;interoperability;Industry 4.0 components,,6,,25,IEEE,27 Sep 2018,,,IEEE,IEEE Conferences,,,
OPC UA PubSub Implementation and Configuration,Z. Liu; P. Bellot,"LTCI, Telécom Paris, Institut Polytechnique de Paris, France; LTCI, Telécom Paris, Institut Polytechnique de Paris, France",2019 6th International Conference on Systems and Informatics (ICSAI),27 Feb 2020,2019,,,1063,1068,"OPC UA (Open Platform Communication Unified Architecture) is one of the most widely used specifications for industrial system communication. In the context of increasingly complex technologies of the Industrial Internet of Things (IIoT) and requirements for interoperability of the Industrie 4.0, the specification is extended by adding a new communication architecture named PubSub to provide asynchronous information exchange capability. This paper introduces our OPC UA PubSub and MQTT based configuration tool, and a PubSub implementation that can be easily integrated into other C/C++ OPC UA projects.",,978-1-7281-5256-1,10.1109/ICSAI48974.2019.9010445,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010445,IoT;OPC UA;MQTT,Tools;Monitoring;Servers;Companies;Manufacturing systems;Interoperability,Internet;Internet of Things;manufacturing systems;message passing;middleware;open systems;production engineering computing,PubSub implementation;Platform Communication Unified Architecture;IIoT;communication architecture;asynchronous information exchange capability;MQTT based configuration tool;Industrie 4.0,,6,,13,IEEE,27 Feb 2020,,,IEEE,IEEE Conferences,,,
Implementation of a Bi-Directional Digital Twin for Industry 4 Labs in Academia: A Solution Based on OPC UA,A. Protic; Z. Jin; R. Marian; K. Abd; D. Campbell; J. Chahl,"UNISA STEM, Australian Research Centre for Interactive and Virtual Environments, University of South Australia, Mawson Lakes, Australia; UNISA STEM, Australian Research Centre for Interactive and Virtual Environments, University of South Australia, Mawson Lakes, Australia; UNISA STEM, Australian Research Centre for Interactive and Virtual Environments, University of South Australia, Mawson Lakes, Australia; UNISA STEM, Australian Research Centre for Interactive and Virtual Environments, University of South Australia, Mawson Lakes, Australia; IEEE; UNISA STEM, Australian Research Centre for Interactive and Virtual Environments, University of South Australia, Mawson Lakes, Australia",2020 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),12 Jan 2021,2020,,,979,983,"With the increased demands of smarter manufacturing approaches around the world, the process of industrial digital transformation is being pushed in and by both industry and academia. Learning factories and testing laboratories have been developed for decades for teaching and training purposes in Academia. Nowadays, as the future trend in industry, Industry 4 is being merged into the latest development of learning factories and testing laboratories. This paper presents the development and implementation of a bi-directional digital twin application in an Industry 4 testing laboratory at University of South Australia. The solution is based on the establishment of OPC UA connection between two cobots of different brands, the use of NX Siemens as a CAD simulation platform and a SCADA system from Inductive Automation. Due to differences between system interfaces, communication between different modules was challenging. Python OPC UA servers were developed. The digital twin replicates the physical system and is driven by inputs from the assembly cell.",,978-1-5386-7220-4,10.1109/IEEM45057.2020.9309953,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9309953,I4 Laboratories;Bi-directional Digital Twin implementation;Python;OPC UA;SCADA,Digital twin;Servers;Industries;Solid modeling;Python;Laboratories;Service robots,assembling;CAD;control engineering computing;factory automation;laboratory techniques;manufacturing systems;production engineering computing;Python;SCADA systems,smarter manufacturing approaches;industrial digital transformation;learning factories;teaching purposes;bi-directional digital twin application;Industry 4 testing laboratory;python OPC UA servers;training purposes;University of South Australia;NX Siemens;CAD simulation platform;SCADA system;assembly cell,,6,,21,IEEE,12 Jan 2021,,,IEEE,IEEE Conferences,,,
Fault Detection Assessment using an extended FMEA and a Rule-based Expert System,F. Arévalo; C. Tito; M. R. Diprasetya; A. Schwung,"Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany",2019 IEEE 17th International Conference on Industrial Informatics (INDIN),30 Jan 2020,2019,1,,740,745,"Early fault detection and diagnosis lead to enhanced production performance since the companies can avoid unplanned machines downtimes and final product quality issues. Expert systems are widely popular in the industry for fault detection and diagnosis applications. This is due to its easy implementation, and its versatility to transform expert knowledge into rules. This paper proposes an extended FMEA (eFMEA) as a systematic knowledge extraction tool to detail the failure causes of equipment in an industrial process. It outlines a methodology for the automatic generation of expert knowledge rules through the digitalisation of the eFMEA. The last contribution is a rule-based expert system for multi-fault detection and diagnosis based on the digitalised eFMEA. This expert system uses the communication protocol OPC-UA to feed the current data from the equipment, to detect faults. It can detect multi-faults simultaneously. The fault detection and diagnosis are visualised through a web application.",2378-363X,978-1-7281-2927-3,10.1109/INDIN41052.2019.8972299,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8972299,Production Assessment;extended FMEA;Rule-based Expert Systems;OPC-UA;Web-Application,,expert systems;failure analysis;fault diagnosis;Internet;knowledge acquisition;mechanical engineering computing;product quality;production equipment,fault detection assessment;extended FMEA;rule-based expert system;production performance;product quality issues;diagnosis applications;eFMEA;systematic knowledge extraction tool;expert knowledge rules;communication protocol OPC-UA;web application,,6,,15,IEEE,30 Jan 2020,,,IEEE,IEEE Conferences,,,
"Semantic Automation Systems, a Suitable Approach for Automation Networks in the Industry 4.0",S. Gil; G. D. Zapata-Madrigal,"Grupo T&T, Facultad de Minas, Universidad Nacional de Colombia, Medellín, Medellín, Colombia; Grupo T&T, Facultad de Minas, Universidad Nacional de Colombia, Medellín, Medellín, Colombia",2019 IEEE 4th Colombian Conference on Automatic Control (CCAC),5 Dec 2019,2019,,,1,6,"The Industry 4.0 demands a change of paradigm for the automation engineering and some new requirements that has to be accomplished like data integration, big data processing, semantics, communication protocols, and standardization. The interoperability is another essential concept, it is a key for the development of the Industry 4.0. This work presents a semantic approach to model automation systems through an ontology, and its applicability in industrial automation networks using OPC UA. The Automation I4.0 Ontology, the model proposed in this project, provides a semantic tool to represent high-, middle, and low-level concepts of automation systems, and offers a way to integrate directly in software applications and semantic-based communications protocols such as OPC UA. It demonstrates the suitability of the semantic-based automation systems to be implemented by semantic-based or object-based communication protocols in Industry 4.0 applications. This initiative intends to empower the development of the Industry 4.0 and the Internet of Things for the automation engineering.",,978-1-5386-6962-4,10.1109/CCAC.2019.8921156,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8921156,Ontologies;Distributed Automation Systems;Semantic Models;Industry 4.0;Internet of Things;OPC UA,Automation;Ontologies;Semantics;Industries;Standards;Resource description framework;Protocols,Big Data;data integration;factory automation;Internet of Things;ontologies (artificial intelligence);open systems;production engineering computing;protocols;semantic Web,Internet of Things;object-based communication protocols;interoperability;Industry 4.0;automation I4.0 ontology;software applications;OPC UA;industrial automation networks;Big Data processing;data integration;semantic automation systems,,6,,21,IEEE,5 Dec 2019,,,IEEE,IEEE Conferences,,,
Towards Formal Monitoring of Workpieces in Agile Manufacturing,M. Azangoo; J. O. Blech; U. D. Atmojo,"Dep. of Electrical Eng. and Automation, Aalto University, Espoo, Finland; Dep. of Electrical Eng. and Automation, Aalto University, Espoo, Finland; Dep. of Electrical Eng. and Automation, Aalto University, Espoo, Finland",2020 IEEE International Conference on Industrial Technology (ICIT),16 Apr 2020,2020,,,334,339,"Information about the locations of objects is one of the main ingredients of Industry 4.0. With the increased use of flexible and agile manufacturing techniques, the monitoring of workpieces in a factory can become more challenging. In this paper, we present a state-machine-based approach for monitoring workpieces using sensors such as RFID readers. We present a solution where each object is represented as a deterministic state machine to monitor the object's journey throughout production via this state machine representation. Multiple objects can be monitored at the same time by running parallel event-based state machines. We present an implementation of our solution using RFID-Readers and OPC UA.",2643-2978,978-1-7281-5754-2,10.1109/ICIT45562.2020.9067188,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9067188,industry 4.0;automation;agile manufacturing;OPC UA;deterministic state machine;factory of the future;monitoring,Monitoring;Radiofrequency identification;Agile manufacturing;Sensor systems;Automation,agile manufacturing;finite state machines;flexible manufacturing systems;production engineering computing;radiofrequency identification;sensors,agile manufacturing;RFID readers;Industry 4.0;flexible manufacturing techniques;sensors;event-based state machines representation;OPC UA;workpieces monitoring,,6,,24,IEEE,16 Apr 2020,,,IEEE,IEEE Conferences,,,
Application Study of Hardware-Based Security for Future Industrial IoT,R. Matischek; B. Bara,"Infineon Technologies Austria AG, Graz, Austria; Infineon Technologies Austria AG, Graz, Austria",2019 22nd Euromicro Conference on Digital System Design (DSD),21 Oct 2019,2019,,,246,252,"The stepwise evolution of conventional production facilities into future Smart Factory or Industrial IoT paradigms entails special requirements on future industrial devices and communication networks. Due to the considerably increasing demand of interconnected devices - for internal and even external remote access - various security measures of future industrial equipment must be improved. Therefore, this paper presents an application-and feasibility study of secured communication between today's and future stationary industrial devices - based on the upcoming OPC UA protocol and partially enhanced with hardware-based security.",,978-1-7281-2862-7,10.1109/DSD.2019.00044,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8875107,"Industrial IoT, Hardware-Based Security, Secure Element, OPC UA",Protocols;Internet of Things;Java;Hardware;Public key;Standards,computer network security;cryptographic protocols;Internet of Things;production facilities,hardware-based security;production facilities;Smart Factory;industrial devices;communication networks;interconnected devices;internal access;security measures;industrial equipment;secured communication;stationary industrial devices;external remote access;industrial IoT paradigms,,5,,31,IEEE,21 Oct 2019,,,IEEE,IEEE Conferences,,,
A Smart Gateway Enabling OPC UA and DDS Interoperability,R. Endeley; T. Fleming; N. Jin; G. Fehringer; S. Cammish,"Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; ADLINK Technology IST, Gateshead, U.K","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",9 Apr 2020,2019,,,88,93,"Interoperability is one of the major challenges of adoption of the Industrial Internet of Things. OPC UA is one of the main industrial standards for the Request-reply messaging pattern, and DDS is one of the main industrial standards for the Publish-subscribe messaging pattern. How to ensure data is communicated, understandable, and interoperable between the systems implemented by OPC UA and DDS is an industrial concern to address. This study proposes a novel middleware solution which enables effective communication between these two message patterns. We evaluate our work by testing the middleware's performance on a scenario using a Raspberry Pi and the software middleware connected to a private LAN, measuring response times and reliability.",,978-1-7281-4034-6,10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00058,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060245,DDS;OPC UA;IIoT;IoT;Internet of Things;Realtime systems;Middleware;Publish/Subscribe,Servers;Logic gates;Connectors;Standards;Middleware;Protocols;Monitoring,Internet of Things;internetworking;local area networks;message passing;middleware;open systems,data distribution service;private LAN;software middleware;Raspberry Pi;data communication;publish-subscribe messaging pattern;request-reply messaging pattern;Industrial Internet of Things;OPC UA;industrial standards;DDS interoperability;smart gateway,,5,,16,IEEE,9 Apr 2020,,,IEEE,IEEE Conferences,,,
A Comparison of OPC UA & Semantic Web Languages for the purpose of Industrial Automation Applications,M. Majumder; L. Wisniewski; C. Diedrich,"inIT - Institute industrial IT, Technische Hochschule OWL, Lemgo, Germany; inIT - Institute industrial IT, Technische Hochschule OWL, Lemgo, Germany; Institut für Automatisierungstechnik (IFAT), Otto-von-Guericke Universität Magdeburg, Magdeburg, Germany",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,1297,1300,"The emergence of the Internet of Things (IoT) and Cyber-Physical Systems (CPSs) has revolutionized the industrial sectors around the world. Industry 4.0, a digitalization endeavour by the government of Germany for the factories of the future, aims to create intelligent, self-organized, and self-optimized smart factories by combining the IoT, cloud computing and artificial intelligence together. Interoperability is one of the crucial aspects of Industry 4.0 which requires standardized information models and exchange mechanisms for heterogeneous platform integration. Despite the development of various industry standards, this still remains the biggest burden due to multiple protocols, technologies, and policies involved. A common understanding of data semantics can be helpful in mitigating such problem. This paper provides a detailed comparison between the modelling approaches of Open Platform Communication Unified Architecture (OPC UA) and Resource Description Framework (RDF) and its extension languages. The aim is to garner a common understanding between these two modelling frameworks in order to generate a standardized mapping between them for the purpose of interoperable industrial applications.",1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8869113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869113,Information Modelling;OPC UA;OWL;RAMI 4.0;RDF;RDFS;Semantic Web,Resource description framework;Object oriented modeling;OWL;Unified modeling language;Industries;Automation,cloud computing;cyber-physical systems;factory automation;Internet of Things;knowledge representation languages;Linked Data;open systems;production engineering computing;semantic Web,semantic Web languages;industrial automation applications;IoT;Internet of Things;cyber-physical systems;CPSs;industrial sectors;digitalization endeavour;self-optimized smart factories;cloud computing;artificial intelligence;interoperability;information models;exchange mechanisms;heterogeneous platform integration;industry standards;multiple protocols;data semantics;resource description framework;extension languages;modelling frameworks;standardized mapping;interoperable industrial applications;OPC UA;Industry 4.0;self-organized smart factories;intelligent smart factories;open platform communication unified architecture;RDF,,5,,13,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,,
Analysis of the Round Trip Time of OPC UA and TSN based Peer-to-Peer Communication,A. Eckhardt; S. Müller,"Engineering Automation Systems, Bosch Rexroth AG, Erbach, Germany; Engineering Automation Systems, Bosch Rexroth AG, Erbach, Germany",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,161,167,"At the SPS IPC Drives in Germany a joint working group between the leading automation manufacturers announced to work together on a set of vendor independent standards for the next generation of industrial communication products. This set of standards is based on OPC UA and Time Sensitive Networking (TSN) and shall be used throughout the automation pyramid. This work contributes to analyze the performance of OPC UA and TSN. Therefore, a test framework is implemented to measure the round trip time of a peer-to-peer communication. The round trip time is an important performance indicator for controller-to-controller and controller-to-field device use cases.",1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8869060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869060,OPC UA;TSN;Round trip time,Standards;Protocols;Synchronization;Automation;Clocks;Payloads;Peer-to-peer computing,factory automation;field buses;peer-to-peer computing;production engineering computing,round trip time;TSN;peer-to-peer communication;SPS IPC Drives;joint working group;leading automation manufacturers;vendor independent standards;industrial communication products;OPC UA;Time Sensitive Networking;automation pyramid;Germany;controller-to-controller device use case;controller-to-field device use case,,5,,19,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,,
Rent'n'Produce: A Secure Cloud Manufacturing Platform for Small and Medium Enterprises,C. Ellwein; O. Riedel; O. Meyer; D. Schel,"Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Competence Center DigiTools for Manufacturing, Fraunhofer Institute for Manufacturing Engineering and Automation, Stuttgart, Germany; Competence Center DigiTools for Manufacturing, Fraunhofer Institute for Manufacturing Engineering and Automation, Stuttgart, Germany","2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",16 Aug 2018,2018,,,1,6,"The manufacturing landscape is subject to change due to current trends as digitalization, the industrial internet of things and cloud manufacturing. Especially the cloud manufacturing paradigm does effect job order production and contract manufacturing. While these paradigm does simplify communication between contractors security and privacy issues have been identified as one of the biggest obstacles in prior research. Within this paper this obstacle is targeted; a platform to close this gap is outlined.",,978-1-5386-1469-3,10.1109/ICE.2018.8436332,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436332,Cloud Manufacturing;Security;Industrial IoT;OPC UA Gateway,Manufacturing;Cloud computing;Production;Security;Companies;Internet of Things;Interviews,cloud computing;Internet of Things;manufacturing systems;production engineering computing;production management;small-to-medium enterprises;subcontracting,contractors security;privacy issues;secure cloud manufacturing;small-and-medium enterprises;industrial internet of things;job order production;digitalization,,5,,23,IEEE,16 Aug 2018,,,IEEE,IEEE Conferences,,,
OPC UA Information Model and a Wrapper for IEC 61499 Runtimes,I. Seilonen; V. Vyatkin; U. D. Atmojo,"Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland",2019 IEEE 17th International Conference on Industrial Informatics (INDIN),30 Jan 2020,2019,1,,1008,1013,"OPC UA is considered as an important communication technology for Industry 4.0 components. On the other hand, IEC 61499 is one of the technologies available for developing applications to the same components. In this paper, a proposal for an OPC UA information model for IEC 61499 systems is developed in order to enhance communication with IEC 61499 applications through OPC UA. Already existing related information models, particularly OPC UA for Devices and IEC 61131-3, are utilized as models and parts of the design. An OPC UA wrapper for IEC 61499 runtimes is presented as one possible way to implement the information model. Both the information model and the wrapper are then tested through a case study.",2378-363X,978-1-7281-2927-3,10.1109/INDIN41052.2019.8971964,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8971964,OPC UA;IEC 61499;Information Model;Wrapper,,IEC standards;production engineering computing,IEC 61131-3;Industry 4.0 components;communication technology;OPC UA wrapper;IEC 61499 runtimes;information model design,,5,,23,IEEE,30 Jan 2020,,,IEEE,IEEE Conferences,,,
