"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Throttled service calls in OPC UA","A. Ismail; W. Kastner","Institute of Computer Aided Automation, Technische Universität Wien, Vienna, Austria; Institute of Computer Aided Automation, Technische Universität Wien, Vienna, Austria","2018 IEEE International Conference on Industrial Technology (ICIT)","30 Apr 2018","2018","","","1658","1663","The Open Platform Communications Unified Architecture (OPC UA) standard specifies the use of a push-based communication model for service calls in its client-server architecture. This paper clarifies how this model leaves OPC UA Servers vulnerable to request overload. A solution based on rate throttling is demonstrated to counter this vulnerability. The requirements of the resulting service are quantified and an open-source prototypical implementation is built using the Apache ZooKeeper and open 62541 libraries.","","978-1-5090-5949-2","10.1109/ICIT.2018.8352430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352430","","Uninterruptible power systems","application program interfaces;client-server systems;open systems;security of data","open-source prototypical implementation;open 62541 libraries;throttled service calls;Open Platform Communications Unified Architecture standard;client-server architecture;request overload;rate throttling;push-based communication model;OPC UA Servers;Apache ZooKeeper","","2","","16","IEEE","30 Apr 2018","","","IEEE","IEEE Conferences"
"Cyber Security Risks of Technical Components in Industry 4.0","W. Matsuda; M. Fujimoto; Y. Hashimoto; T. Mitsunaga","NTT Social Informatics Laboratories, Tokyo, Japan; Nagoya Institute of Technology, Nagoya, Japan; Nagoya Institute of Technology, Nagoya, Japan; Toyo University, Saitama, Japan","2021 IEEE International Conference on Omni-Layer Intelligent Systems (COINS)","2 Sep 2021","2021","","","1","7","Industry 4.0 is a new concept of automation data exchange in manufacturing. Industry 4.0 consists of various technical components such as Artificial Intelligence (AI), IoT, OPC UA, and cloud. There could be cyber risks when these technical components are used in Industrial Control System (ICS) without security consideration. Therefore cyber risk assessment, reconsideration of implementation, operation are necessary to adopt Industry 4.0. Problems of previous research for ICS risk assessments are some of them are theoretical and conceptual methods such as simulations. Moreover, they do not focus on Industry 4.0 components.The objective of this research is to prove the concrete cyber risks and introduces corresponding secure implementations for Industry 4.0 components such as Artificial Intelligence (AI), the Internet of Things (IoT), OPC Unified Architecture (OPC UA). The proposed method has benefits for clarifying impacts on the real world by cyber-attacks through penetration tests against ICS testbed with actual machines.","","978-1-6654-3156-9","10.1109/COINS51742.2021.9524088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9524088","Industry 4.0;Industrial Control System;cyber security;ICS testbed;AI;cloud;IoT;OPC UA","Industries;Cloud computing;Power measurement;Industrial control;Control systems;Security;Risk management","artificial intelligence;cloud computing;electronic data interchange;industrial control;Internet of Things;production engineering computing;risk management;security of data;service-oriented architecture","cyber risk assessment;ICS risk assessments;artificial intelligence;cyber-attacks;cyber security risks;automation data exchange;industrial control system;Industry 4.0;OPC UA;Internet of Things;cloud technologies;OPC Unified Architecture","","","","24","IEEE","2 Sep 2021","","","IEEE","IEEE Conferences"
"Design of Multi-Protocol Industrial Ethernet Security Monitor","D. Han; Y. Zhao; Y. Gong","Sensing and Network Control Center, Instrumentation Technology Economy Institute, Beijing, China; Sensing and Network Control Center, Instrumentation Technology Economy Institute, Beijing, China; Sensing and Network Control Center, Instrumentation Technology Economy Institute, Beijing, China","2021 IEEE International Conference on Power Electronics, Computer Applications (ICPECA)","1 Mar 2021","2021","","","17","20","Aiming at the information security in industrial communication network and industrial network integration requirements, this paper develops in-depth study on the current industrial ethernet, OPC UA, Modbus TCP and Profinet, against the vulnerability in the industrial control network, adopts the security strategy under the combination of security function in the mainstream industrial ethernet and protocol deep analysis, and designs an ethernet security monitor in multi-protocol industry. This monitor is able to identify different network protocols automatically in single or multiple network protocols, maintain surveillance over network status in real-time according to the security configuration strategy, supervise illegal access from unauthorized devices, abnormal message, network abnormalities, etc., track the equipment critical process data, and realize local and remote alarm function. After testing, this monitor does not affect the original industrial control network and can effectively protect the security of industrial control network.","","978-1-7281-9004-4","10.1109/ICPECA51329.2021.9362589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9362589","OPC UA;Modbus TCP;Profinet;security monitor","Protocols;Industrial control;Ethernet;Security;Personnel;Monitoring;Testing","computer network security;control engineering computing;industrial control;local area networks;transport protocols","industrial network integration requirements;security strategy;security function;mainstream industrial ethernet;protocol deep analysis;multiprotocol industry;single network protocols;multiple network protocols;network status;security configuration strategy;network abnormalities;original industrial control network;multiprotocol industrial ethernet security monitor;information security;industrial communication network","","","","10","IEEE","1 Mar 2021","","","IEEE","IEEE Conferences"
"On the Security of IIoT Deployments: An Investigation of Secure Provisioning Solutions for OPC UA","F. Kohnhäuser; D. Meier; F. Patzer; S. Finster","ABB Corporate Research Center, Ladenburg, Germany; Fraunhofer Institute of Optronics, System Technologies and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies and Image Exploitation IOSB, Karlsruhe, Germany; ABB Corporate Research Center, Ladenburg, Germany","IEEE Access","19 Jul 2021","2021","9","","99299","99311","A key technology for the communication in the Industrial Internet of Things (IIoT) is the Open Platform Communications Unified Architecture (OPC UA). OPC UA is a standard that enables interoperable, secure, and reliable communication between industrial devices. To defend against cyber attacks, OPC UA has built-in security mechanisms that protect the authenticity, integrity, and confidentiality of data in transit. Before communicating securely, it is essential that OPC UA devices are set up in a secure manner. This process is referred to as secure provisioning. An improper provisioning can lead to weak or insecure OPC UA deployments that enable adversaries to eavesdrop or even manipulate communication between industrial devices. Such insecure deployments can also be maliciously provoked by adversaries who tamper with insecure provisioning solutions. Despite secure provisioning is essential for OPC UA security and usability, there exists no overview and systematic analysis on the patchwork of different solutions in industry and academia. This article presents the first investigation of secure device provisioning solutions for the OPC UA communication protocol. First, desired objectives and evaluation criteria for secure provisioning of OPC UA devices are defined. Next, existing and emerging OPC UA provisioning solutions are analyzed and compared based on the elaborated objectives and criteria. Additionally, an outlook into the future of OPC UA provisioning is given, based on solutions from the IoT domain. Finally, the analyzed OPC UA secure provisioning solutions are compared, recommendations are given, and research gaps are identified. It is shown that contemporary provisioning solutions offer an insufficient level of security. Emerging and future solutions provide much higher security guarantees but impose a tradeoff between usability and requirements on devices and infrastructures.","2169-3536","","10.1109/ACCESS.2021.3096062","German Federal Ministry of Education and Research in the scope of the Basissystem Industrie 4.0 (BaSys) 4.2 Project(grant numbers:01IS19022B); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478911","Communication system security;device provisioning;Industrial Internet of Things (IIoT);industry 40;network security;OPC UA;secure provisioning","Security;Servers;Standards;Industrial Internet of Things;Usability;Industries","","","","7","","39","CCBYNCND","9 Jul 2021","","","IEEE","IEEE Journals"
"Anomaly-based Intrusion Detection in Industrial Data with SVM and Random Forests","S. D. D. Anton; S. Sinha; H. Dieter Schotten","Intelligent Networks Research Group, German Research Center for AI, Kaiserslautern, Germany; Intelligent Networks Research Group, German Research Center for AI, Kaiserslautern, Germany; Intelligent Networks Research Group, German Research Center for AI, Kaiserslautern, Germany","2019 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","21 Nov 2019","2019","","","1","6","Attacks on industrial enterprises are increasing in number as well as in effect. Since the introduction of industrial control systems in the 1970' s, industrial networks have been the target of malicious actors. More recently, the political and warfare-aspects of attacks on industrial and critical infrastructure are becoming more relevant. In contrast to classic home and office IT systems, industrial IT, so-called OT systems, have an effect on the physical world. Furthermore, industrial devices have long operation times, sometimes several decades. Updates and fixes are tedious and often not possible. The threats on industry with the legacy requirements of industrial environments creates the need for efficient intrusion detection that can be integrated into existing systems. In this work, the network data containing industrial operation is analysed with machine learning- and time series-based anomaly detection algorithms in order to discover the attacks introduced to the data. Two different data sets are used, one Modbus-based gas pipeline control traffic and one OPC UA-based batch processing traffic. In order to detect attacks, two machine learning-based algorithms are used, namely SVM and Random Forest. Both perform well, with Random Forest slightly outperforming SVM. Furthermore, extracting and selecting features as well as handling missing data is addressed in this work.","1847-358X","978-953-290-088-0","10.23919/SOFTCOM.2019.8903672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8903672","Machine Learning;Artificial Intelligence;Cyber Security;IT Security;Industrial","","batch processing (industrial);computer network security;industrial control;learning (artificial intelligence);support vector machines;time series","physical world;operation times;industrial environments;network data;industrial operation;time series-based anomaly detection algorithms;Modbus-based gas pipeline control traffic;OPC UA-based batch processing traffic;machine learning-based algorithms;SVM;missing data;anomaly-based intrusion detection;industrial data;random forests;industrial enterprises;industrial control systems;industrial networks;malicious actors;political warfare-aspects;industrial infrastructure;critical infrastructure;OT systems","","39","","43","","21 Nov 2019","","","IEEE","IEEE Conferences"
"Attack Detection in Cyber-Physical Production Systems using the Deterministic Dendritic Cell Algorithm","R. Pinto; G. Gonçalves; E. Tovar; J. Delsing","Research Center for Systems and Technologies, Faculty of Engineering, University of Porto, Porto, Portugal; Research Center for Systems and Technologies, Faculty of Engineering, University of Porto, Porto, Portugal; Research Centre in Real-Time and Embedded Computing Systems, Polytechnic of Porto - School of Engineering, Porto, Portugal; EISLAB, Luleå University of Technology, Luleå, Sweden","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","1552","1559","Cyber-Physical Production Systems (CPPS) are key enablers for industrial and economic growth. The introduction of the Internet of Things (IoT) in industrial processes represents a new revolution towards the Smart Manufacturing oncept and is usually designated as the 4th Industrial Revolution. Despite the huge interest from the industry to innovate their production systems, in order to increase revenues at lower costs, the IoT concept is still immature and fuzzy, which increases security related risks in industrial systems. Facing this paradigm and, since CPPS have reached a level of complexity, where the human intervention for operation and control is becoming increasingly difficult, Smart Factories require autonomic methodologies for security management and self-healing. This paper presents an Intrusion Detection System (IDS) approach for CPPS, based on the deterministic Dendritic Cell Algorithm (dDCA). To evaluate the dDCA effectiveness, a testing dataset was generated, by implementing and injecting various attacks on a OPC UA based CPPS testbed. The results show that these attacks can be successfully detected using the dDCA.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9212021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212021","CPPS;OPC UA;IDS;DCA;AIS;Network Attacks","Industries;Production systems;Costs;Security management;Intrusion detection;Fourth Industrial Revolution;Internet of Things","artificial immune systems;cyber-physical systems;Internet of Things;production engineering computing;security of data","attack detection;deterministic dendritic cell algorithm;CPPS;industrial growth;economic growth;industrial processes;industrial revolution;IoT concept;industrial systems;intrusion detection system;cyber-physical production systems;Internet of Things","","6","","39","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"Authentication Layer for IEC 61113-3 Applications","A. Homay; C. Chrysoulas; M. de Sousa","Faculty of Computer Science, TU Dresden, Dresden, Germany; Faculty of Engineering, London South Bank University, London, United Kingdom; Faculty of Engineering, University of Porto, Porto, Portugal","2019 10th IFIP International Conference on New Technologies, Mobility and Security (NTMS)","15 Jul 2019","2019","","","1","5","Mid 2010, the Stuxnet ICS attack targeted the Siemens automation products, and after this attack the ICS security was thrust into spotlight, automation products suppliers started to re-examine their business approach to cyber security. The OPC Foundation made also significant changes and improvements on its new design OPC-UA to increase security of automation applications but, what is still missing and seems to be not resolved any time soon is having security in depth for industrial automation applications. In this paper, we propose a simple but strong security control solution, what we will call a logic application level security particularly for SCADA and DCS. This proposed method is based on message integrity and should not be viewed as the main, nor the only level of protection that an industrial automation system is expected to have, but can be a low-level security procedure that avoids intelligent attacks such as Stuxnet.","2157-4960","978-1-7281-1542-9","10.1109/NTMS.2019.8763839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8763839","Stuxnet;Obfuscation;Encryption;MAC;SCADA;DCS","Security;Computer worms;IEC Standards;Integrated circuits;Automation","critical infrastructures;distributed control;field programmable gate arrays;IEC standards;industrial control;programmable controllers;SCADA systems","authentication layer;IEC 61113-3 applications;Stuxnet ICS attack;Siemens automation products;ICS security;automation products suppliers;OPC Foundation;industrial automation applications;logic application level security;industrial automation system;low-level security procedure;intelligent attacks;security control solution;message integrity;OPC-UA design;SCADA;distributed control systems;DCS","","","","27","IEEE","15 Jul 2019","","","IEEE","IEEE Conferences"
"Formal Security Verification of Industry 4.0 Applications","V. Nigam; C. Talcott","Federal University of Paraíba, João Pessoa, Brazil; SRI International, Melno Park, USA","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","1043","1050","Without appropriate counter-measures, cyber-attacks can exploit the increased system connectivity provided by Industry 4.0 (I4.0) to cause catastrophic events, by, e.g., injecting or tampering with messages. The solution supported by standards, such as, OPC-UA, is to sign or encrypt messages. However, given the limited resources of devices, instead of encrypting all messages in the network, it is better to encrypt only the messages that if tampered with or injected, could lead to undesired configurations. This paper describes the use of formal verification to analyse the security of I4.0 applications. We formalize in Rewriting Logic, I4.0 applications and systems, i.e., networked sets of devices, and a symbolic intruder model. Our formalization can be executed by the tool Maude to automate such security analysis, e.g., determine which messages are sufficient to sign in order avoid injection and tampering attacks.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869428","","Cryptography;Grippers;Production facilities;Tools;Industries;Standards","cryptography;formal verification;rewriting systems","formal security verification;Industry 4.0 applications;counter-measures;cyber-attacks;catastrophic events;tampering attacks;system connectivity;OPC-UA;security analysis;Rewriting Logic","","8","","15","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
"Survey of domain specific languages to build packet parsers for industrial protocols","S. Bhardwaj; P. Larbig; R. Khondoker; K. Bayarou","Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany; Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany; Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany; Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany","2017 20th International Conference of Computer and Information Technology (ICCIT)","8 Feb 2018","2017","","","1","6","The advent of the industrial automation due to the fourth industrial revolution (Industry 4.0) in industrial sectors is shifting the focus of industrial systems, such as Programmable Logic Controllers (PLC), Distributed Control Systems (DCS), etc. inside a production network towards Internet of Things (IoT). In the production network, these industrial systems communicate with each other by exchanging data packets. Due to this shift, the traditional industrial systems which were not connected to the Internet are now transformed into `smart factories', where these systems are able to communicate via the Internet. However, making the industrial system online also imposes threats of being attacked by malware and viruses. Industrial automation needs security measures, such as Intrusion Detection System (IDS), to analyze the data packets in order to protect the industrial systems and production network from these threats. These data packets contain headers of industrial protocols, such as Modbus and Profinet. Present approaches such as hand-written parsers face some challenges to parse these packets. Therefore, this paper sheds some light on some of these approaches to be able to make parser development simple, fast, and easy to maintain considering especially the industrial protocols. Parsers for several protocols such as Modbus, Profinet, OPC UA, and S7comm have been developed and evaluated. Evaluation of the implementation shows that these protocols can be parsed correctly and efficiently. This output of this parser is being used as inputs of an Industrial IDS system.","","978-1-5386-1150-0","10.1109/ICCITECHN.2017.8281842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281842","","Production;Industries;Routing protocols;Information technology;Domain specific languages;Automation","factory automation;grammars;Internet;Internet of Things;invasive software;production engineering computing;specification languages","industrial system;production network;industrial protocols;Industrial IDS system;industrial automation;Distributed Control Systems;domain specific languages;packet parsers;Internet of Things;smart factories;data packet analysis;malware;production industries","","3","","24","EU","8 Feb 2018","","","IEEE","IEEE Conferences"
"Quasi-Wireless Capacitive Power Transfer with Secure Data Acquisition for Robotic Systems in Space Infrastructure","T. Burks; G. Cathey; V. Kholodilo; D. Ulybyshev; M. Pearce; T. Marcrum; M. Coultis; C. Van Neste; B. Northern; M. Gupta; D. Boyd","Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, United States of America; Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, United States of America; Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, United States of America; Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, United States of America; Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; Department of Computer Science, Tennessee Technological University, Cookeville, United States of America; NASA, Marshall Space Flight Center, Huntsville, United States of America","2021 IEEE International Conference on Wireless for Space and Extreme Environments (WiSEE)","22 Nov 2021","2021","","","78","83","Space exploration is dependent on robotic systems that utilize end effectors to collect samples, probe surfaces, and manipulate objects. These systems can rarely be designed to do all three, forcing engineers to make tradeoffs based on the mission parameters - i.e. should the robotic appendage have a claw, drill, or shovel, and which would be best suited for the mission? Additionally, as more industrial and government entities partake in space exploration, data protection is needed. To address these challenges, we present a first-of-its-kind robotic linkage that has no wiring between the joints. Instead, quasi-wireless capacitive power transfer is used to send energy over the robot’s chassis without a return wire. This enables the system to be completely modular through the use of single-contact permanent magnet connections, allowing rapid alterations in joint kinematics and/or the changing of end effectors.For collecting sensor data from the robotic arm and to send remote commands to it, we use a Supervisory Control and Data Acquisition (SCADA) system. Data transmission relies on MQTT and OPC UA communication protocols with encryption. The SCADA server logs and archives sensor data and provides the functionality for authorized users to send remote commands from SCADA client(s) to motors. A SCADA client can be any of the web browsers that connect to a server via a secure communication channel using SSL protocol. Furthermore, as an extra data protection mechanism, we inject noise to the sensor data traffic, which obfuscates the timing of sensor data packets and adds confusion about which data packet represents which motor.","2380-7636","978-1-6654-0371-9","10.1109/WiSEE50203.2021.9613841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613841","wireless sensor networks;IoT security;space cybersecurity;SCADA systems","Wireless sensor networks;Protocols;Service robots;SCADA systems;Robot sensing systems;Permanent magnet motors;End effectors","aerospace robotics;control engineering computing;cryptographic protocols;data acquisition;inductive power transmission;manipulators;queueing theory;space communication links;telecommunication security;telerobotics;transport protocols","quasiwireless capacitive power transfer;secure Data Acquisition;robotic systems;space infrastructure;space exploration;end effectors;probe surfaces;mission parameters - i.e;robotic appendage;industrial government entities partake;first-of-its-kind robotic linkage;robot;return wire;single-contact permanent magnet connections;robotic arm;remote commands;Data Acquisition system;Data transmission;archives;SCADA client;secure communication channel;extra data protection mechanism;sensor data traffic;sensor data packets;data packet","","","","20","IEEE","22 Nov 2021","","","IEEE","IEEE Conferences"
"Exploring How The Unique Behaviours Of Industrial Control System Networks Can Be Applied To Enhance Intrusion Prevention","P. Hazell; J. Lu","Yorkshire Water, Bradford, UK; Department of Computer Science, Information and System Engineering (ISE) - Centre for High Intelligent Computing (CHIC), University of Huddersfield, UK","2022 UKACC 13th International Conference on Control (CONTROL)","27 May 2022","2022","","","38","44","Industrial control system security is essential to protecting both industrial output and Critical National Infrastructure (CNI) from cyber-attack, as well as ensuring the safety of workers, members of the public and the environment.Operators of these facilities face a security problem in the dearth of effective countermeasures. This paper addresses this problem by identifying the reasons why so few countermeasures exist and what approaches could be taken to remedy this in a manner that serves both traditional Industrial Control Systems (ICSs), and the emerging needs of the Industrial Internet of Things (IIoT).Circa two-thousand-five-hundred documents (sourced from a combination of five academic search engines, standards agencies, and industrial reports) were reviewed and analysed. From this was found that existing ICS countermeasures are largely derived from existing IT solutions that do not seek to take advantage of the specific characteristics of ICSs – making them less effective or inappropriate in many ICS applications; this is particularly true of network intrusion protection systems, for which false positive detection can have a serious impact on the safe and reliable operation of industrial facilities.It is proposed that the characteristics of ICS and IIoT communications networks lend themselves to a whitelisting approach to network intrusion protection, which would avoid the problem of false positives, and that future work based on the OPC-UA protocol would prove this and demonstrate its suitability for all ICS and IIoT applications.","","978-1-6654-5200-7","10.1109/Control55989.2022.9781374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781374","","Integrated circuits;Protocols;Industrial control;Search engines;Safety;Security;Reliability","computer network security;industrial control;Internet of Things;search engines","security problem;IIoT;academic search engines;industrial reports;ICS applications;network intrusion protection systems;safe operation;industrial facilities;Industrial Control system networks;enhance intrusion prevention;Industrial control system security;industrial output;Critical National Infrastructure;cyber-attack","","1","","41","IEEE","27 May 2022","","","IEEE","IEEE Conferences"
