,Title,Authors,Year,DOI,Document Type
27,Multi-level user and role concept for a secure plug-and-work based on OPC UA and AutomationML,M. Schleipen; E. Selyansky; R. Henssen; T. Bischoff,2015,10.1109/ETFA.2015.7301640,IEEE Conferences
28,OPC UA information modeling: A case study for smart house,"Yi, M.-J., Son, M.",2013,10.4028/www.scientific.net/AMM.241-244.2862,Conference Paper
29,OPC UA security for protecting substation and control center data communication in the distribution domain of the smart grid,P. Jafary; S. Repo; M. Salmenpera; H. Koivisto,2015,10.1109/INDIN.2015.7281811,IEEE Conferences
30,On the Security of IIoT Deployments: An Investigation of Secure Provisioning Solutions for OPC UA,F. Kohnhäuser; D. Meier; F. Patzer; S. Finster,2021,10.1109/ACCESS.2021.3096062,IEEE Journals
31,On the Feasibility and Performance of Secure OPC UA Communication with IIoT Devices,"Kohnhäuser, F., Coppik, N., Mendoza, F., Kumari, A.",2022,10.1007/978-3-031-14835-4_13,Conference Paper
32,Open-Source OPC UA Security and Scalability,N. Mühlbauer; E. Kirdan; M. -O. Pahl; G. Carle,2020,10.1109/ETFA46521.2020.9212091,IEEE Conferences
33,Overview of OPC UA TSN,"Yuan, H., Hao, H., Zhang, M.",2021,10.1109/ITNEC52019.2021.9586911,Conference Paper
34,Portable Trust Anchor for OPC UA Using Auto-Configuration,D. Meier; F. Patzer; M. Drexler; J. Beyerer,2020,10.1109/ETFA46521.2020.9211904,IEEE Conferences
35,Reasoning on Adopting OPC UA for an IoT-Enhanced Smart Energy System from a Security Perspective,S. Marksteiner,2018,10.1109/CBI.2018.10060,IEEE Conferences
36,Rent'n'Produce: A Secure Cloud Manufacturing Platform for Small and Medium Enterprises,C. Ellwein; O. Riedel; O. Meyer; D. Schel,2018,10.1109/ICE.2018.8436332,IEEE Conferences
37,Research of integrity and authentication in OPC UA communication using Whirlpool hash function,"Wu, K., Li, Y., Chen, L., Wang, Z.",2015,10.3390/app5030446,Article
38,Research on OPC UA Security Encryption Method,Z. Luo; X. Zhang,2020,10.1109/ICIBA50161.2020.9276932,IEEE Conferences
39,Research on Security Mechanism of Service Interoperability Based on Power Grid Computer System,"Zhang, Y., Wang, J., Liu, W., Wang, T.",2021,10.1088/1742-6596/1881/4/042022,Conference Paper
40,"SCADA System Framework for Monitoring, Controlling and Data Logging of Industrial Processing Plants",S. S. Mohani; M. Khalid; S. S. Hussain; S. Ghori; H. Akbar,2020,10.1109/ICCI51257.2020.9247645,IEEE Conferences
41,Secure Granular Interoperability with OPC UA,"Watson, V., Sassmannshausen, J., Waedt, K.",2019,10.18420/inf2019_ws34,Conference Paper
42,Secure Onboarding of IIoT Devices using OPC UA,"Kohnhauser, F., Gruner, S., Heuschkel, J.",2022,10.1109/ETFA52439.2022.9921547,Conference Paper
43,Secure Provisioning of OPC UA Applications Using the Asset Administration Shell,"Meier, D., Vogl, J., Kohnhauser, F., Beyerer, J.",2022,10.1109/ICIEA54703.2022.10005899,Conference Paper
44,Secure framework and key agreement mechanism for OPC-UA in industrial IoT,"Wei, M., Mo, L., Zhuang, Y., Kim, K.",2018,10.1145/3164541.3164568,Conference Paper
45,Secure gate: Secure gateways and wireless sensors as enablers for sustainability in production plants,"Bienhaus, D., Ebner, A., Jäger, L., Rieke, R., Krauß, C.",2021,10.1016/j.simpat.2021.102282,Article
46,Securing javascript runtime of OPC UA deployments,"Schindler, J., Belaidi, S., Kirdan, E., Waedt, K.",2022,10.18420/inf2022_133,Conference Paper
47,Security Analysis of Vendor Implementations of the OPC UA Protocol for Industrial Control Systems,"Erba, A., Müller, A., Tippenhauer, N.O.",2022,10.1145/3560826.3563380,Conference Paper
48,Simulating and detecting attacks of untrusted clients in OPC UA networks,"Neu, C.V., Schiering, I., Zorzo, A.",2019,10.1145/3360664.3360675,Conference Paper
49,Software defined networking firewall for industry 4.0 manufacturing systems,"Tsuchiya, A., Fraile, F., Koshijima, I., Órtiz, A., Poler, R.",2018,10.3926/jiem.2534,Article
50,The 5th GI/ACM Workshop 2020 Scope and Draft Programme on Standardization of Secure and Safe Smart Manufacturing Systems with respect to IEC 62443 IACS,"deMeer, J., Waedt, K., Rennoch, A., Hof, H.-J.",2020,10.18420/inf2020_26,Conference Paper
51,The Industrie 4.0 Asset Administration Shell as Information Source for Security Analysis,F. Patzer; F. Volz; T. Usländer; I. Blöcher; J. Beyerer,2019,10.1109/ETFA.2019.8869059,IEEE Conferences
52,Towards post-quantum security for cyber-physical systems: Integrating PQC into industrial M2M communication,"Paul, S., Scheible, P., Wiemer, F.",2021,10.3233/JCS-210037,Article
