,Document Title,Abstract
153,Secure Provisioning of OPC UA Applications Using the Asset Administration Shell,"Modern Industry 4.0 environments are highly interconnected and have therefore an increased need for security. Protocols for machine-to-machine communication, like OPC UA, can provide this security. However, before using their security mechanisms, a trust relationship between the application and operator network first needs to be established. This trust and key exchange is performed during secure provisioning, a process often performed manually and without security in mind. In OPC UA, there are already automated provisioning mechanisms planned and partly existing, but they either involve high manual effort or cannot provide mutual authentication between application and operator network. The Asset Administration Shell (AAS), as a realization of the digital twin concept, already provides the possibility of a secured data and information exchange between manufacturer and operator. In this work, we combine the security mechanisms of OPC UA and AAS to provide a more secure and automated provisioning of new OPC UA applications."
159,Hybrid OPC UA: Enabling Post-Quantum Security for the Industrial Internet of Things,"Cyber-physical systems (CPS) are considered a crucial part for providing connectivity in industrial environments. However, the recent increase in connectivity has led to an extended attack vector. Therefore, it is important that CPS are secured against current and â€” due to their long life span â€” also against future threats, such as quantum computers. The security of present communication can be broken once a sufficiently powerful quantum computer is available. To protect against this attack vector, applications and protocols should start utilizing quantum-resistant primitives. One approach that maintains common security guarantees and protects against quantum computer attacks is to use hybrid constructions: a combination of classically secure and quantum-resistant schemes. In this work, we propose a hybrid key exchange mechanism for the industrial communication protocol Open Platform Communications Unified Architecture (OPC UA). We describe four distinct instantiations based on selected quantum-resistant key encapsulation mechanisms (KEMs), namely NewHope, NTRU, CRYSTALS-Kyber, and Saber. We implement our resulting quantum-resistant modifications of OPC UA on two different ARM based platforms and present detailed performance footprints. Finally, we show the feasibility of employing hybrid quantum-resistant key exchange within OPC UA preserving industrial communication against future threats."
173,Interoperability of OPC UA PubSub with Existing Message Broker Integration Architectures,"Interoperable communication technologies are of key importance in production systems with increasing needs for data in their adoption of data-driven methodologies and new, emerging applications. OPC UA PubSub defines an alternative to the traditional client-server communication with a publish-subscribe model for data to cater to scalability and data-driven cloud application needs. In this paper, the OPC UA PubSub model is compared to some other message broker and communication technologies and integrated with an existing message based integration model for evaluating the interoperability. A case example is presented where data payloads and information security practices are integrated using an adapter approach."
174,On the Security of IIoT Deployments: An Investigation of Secure Provisioning Solutions for OPC UA,"A key technology for the communication in the Industrial Internet of Things (IIoT) is the Open Platform Communications Unified Architecture (OPC UA). OPC UA is a standard that enables interoperable, secure, and reliable communication between industrial devices. To defend against cyber attacks, OPC UA has built-in security mechanisms that protect the authenticity, integrity, and confidentiality of data in transit. Before communicating securely, it is essential that OPC UA devices are set up in a secure manner. This process is referred to as secure provisioning. An improper provisioning can lead to weak or insecure OPC UA deployments that enable adversaries to eavesdrop or even manipulate communication between industrial devices. Such insecure deployments can also be maliciously provoked by adversaries who tamper with insecure provisioning solutions. Despite secure provisioning is essential for OPC UA security and usability, there exists no overview and systematic analysis on the patchwork of different solutions in industry and academia. This article presents the first investigation of secure device provisioning solutions for the OPC UA communication protocol. First, desired objectives and evaluation criteria for secure provisioning of OPC UA devices are defined. Next, existing and emerging OPC UA provisioning solutions are analyzed and compared based on the elaborated objectives and criteria. Additionally, an outlook into the future of OPC UA provisioning is given, based on solutions from the IoT domain. Finally, the analyzed OPC UA secure provisioning solutions are compared, recommendations are given, and research gaps are identified. It is shown that contemporary provisioning solutions offer an insufficient level of security. Emerging and future solutions provide much higher security guarantees but impose a tradeoff between usability and requirements on devices and infrastructures."
193,"Simplifying functional safety communication in modular, heterogeneous production lines","Heterogeneous production lines as a keystone of smart factories, comprised of machines from various manufacturers, are placing a new range of demands on communication and interoperability. Connectivity is the key element for seamless data communication in Cyber-Physical Systems (CPS). This includes standardized protocols and interfaces as well as vendor neutral technologies. An important aspect of a production line, is functional safety and its technical implementation. Up to now, safety-relevant connections between devices of different manufacturers have been implemented using dedicated cables and line monitoring. The aim of this paper is to design an integrated safety architecture based upon existing technologies. The method proposed in this paper aims at achieving functional safety connectivity, along with non-safe data traffic, based on the vendor-neutral technologies Ethernet, Time-Sensitive Networking (TSN), and OPC Unified Architecture (OPC UA)."
222,Design and Application of Cloud Platform Based on OpenStack in Remote Online Collection and Monitoring System of Intelligent Workshop,"With the development of information technology, network technology, Internet technology, cloud computing technology and so on are more and more widely used in various industries. The traditional industrial automation hierarchy structure is complex and the integration degree is not high. It can not meet the development needs of informationization and intelligence, and is limited by the site infrastructure. Therefore, this paper designs a remote online acquisition and monitoring system architecture for intelligent workshop based on OpenStack private cloud computing, which completes the functions of data acquisition, online monitoring, database management and real-time control. In addition, this paper also considers the characteristics of the system architecture, such as filing, disaster tolerance and security. Using OPC UA protocol and Modbus RTU protocol to complete data acquisition, data interaction between the bottom of the factory and the bottom of the enterprise. At the same time, cloud computing data center centralized storage and management of the collected data, which provides great convenience for the follow-up analysis of large data in the workshop, and has a certain practical value."
229,Cyber Security Risks of Technical Components in Industry 4.0,"Industry 4.0 is a new concept of automation data exchange in manufacturing. Industry 4.0 consists of various technical components such as Artificial Intelligence (AI), IoT, OPC UA, and cloud. There could be cyber risks when these technical components are used in Industrial Control System (ICS) without security consideration. Therefore cyber risk assessment, reconsideration of implementation, operation are necessary to adopt Industry 4.0. Problems of previous research for ICS risk assessments are some of them are theoretical and conceptual methods such as simulations. Moreover, they do not focus on Industry 4.0 components.The objective of this research is to prove the concrete cyber risks and introduces corresponding secure implementations for Industry 4.0 components such as Artificial Intelligence (AI), the Internet of Things (IoT), OPC Unified Architecture (OPC UA). The proposed method has benefits for clarifying impacts on the real world by cyber-attacks through penetration tests against ICS testbed with actual machines."
237,A Unified Architecture for Industrial IoT Security Requirements in Open Platform Communications,"We present a unified communication architecture for security requirements in the industrial internet of things. Formulating security requirements in the language of OPC UA provides a unified method to communicate and compare security requirements within a heavily heterogeneous landscape of machines in the field. Our machine-readable data model provides a fully automatable approach for security requirement communication within the rapidly evolving fourth industrial revolution, which is characterized by high-grade interconnection of industrial infrastructures and self-configuring production systems. Capturing security requirements in an OPC UA compliant and unified data model for industrial control systems enables strong use cases within modern production plants and future supply chains. We implement our data model as well as an OPC UA server that operates on this model to show the feasibility of our approach. Further, we deploy and evaluate our framework within a reference project realized by 14 industrial partners and 7 research facilities within Germany."
245,An Industrial Marketplace - the Smart Factory Web Approach and Integration of the International Data Space,"Smart Factory Web is a platform for smart factories to enable flexible sharing and management of assets and resources to maximize efficiency and provide visibility on a global market. To join the Smart Factory Web, participants describe their factory capabilities, which are modelled in an ontology. AutomationML is used to assist with this modelling. OPC UA is used as a communication protocol for factory live-data from the machines. However, factory owners are hesitant to share critical production data. Therefore, the communication has to be secure and in the best case, provide control mechanisms for the data owners. The International Data Space is a peer-to-peer network that will support secure exchange of data and data usage control. In this paper, the Smart Factory Web approach is discussed and extended by an implementation with the current state of the International Data Space."
252,Application Study of Hardware-Based Security for Future Industrial IoT,"The stepwise evolution of conventional production facilities into future Smart Factory or Industrial IoT paradigms entails special requirements on future industrial devices and communication networks. Due to the considerably increasing demand of interconnected devices - for internal and even external remote access - various security measures of future industrial equipment must be improved. Therefore, this paper presents an application-and feasibility study of secured communication between today's and future stationary industrial devices - based on the upcoming OPC UA protocol and partially enhanced with hardware-based security."
258,Design of Multi-Protocol Industrial Ethernet Security Monitor,"Aiming at the information security in industrial communication network and industrial network integration requirements, this paper develops in-depth study on the current industrial ethernet, OPC UA, Modbus TCP and Profinet, against the vulnerability in the industrial control network, adopts the security strategy under the combination of security function in the mainstream industrial ethernet and protocol deep analysis, and designs an ethernet security monitor in multi-protocol industry. This monitor is able to identify different network protocols automatically in single or multiple network protocols, maintain surveillance over network status in real-time according to the security configuration strategy, supervise illegal access from unauthorized devices, abnormal message, network abnormalities, etc., track the equipment critical process data, and realize local and remote alarm function. After testing, this monitor does not affect the original industrial control network and can effectively protect the security of industrial control network."
267,Flexible Safety Systems for Smart Manufacturing,"Smart manufacturing is realizing the idea and potential of Industry 4.0 in reality. An essential part of smart manufacturing are production facilities that dynamically adapt to changing production needs. This brings completely new challenges to functional safety systems, which are mandatory for the protection of man, machine, and environment. Currently, functional safety systems are designed and certified in a static way. The safety design and the configuration are derived from the risk assessment which is performed during the design of a machine. Once the system is put into operation, the safety configuration is not changed anymore. This approach constitutes an impediment to flexibility which smart manufacturing production facilities require nowadays.This paper proposes the design of a self-organizing safety system with the objective to assist an engineer who operates a smart manufacturing facility by discovering all safety-related devices and generating automatically a suitable safety configuration. This configuration will be deployed to the system automatically after adaptation and validation by the safety engineer. The proposed self-organizing safety system, simplifies the safety configuration in a dynamically changing environment. Consequently, it would reduce engineering efforts and decrease machine downtime which improves profitability."
270,Rent'n'Produce: A Secure Cloud Manufacturing Platform for Small and Medium Enterprises,"The manufacturing landscape is subject to change due to current trends as digitalization, the industrial internet of things and cloud manufacturing. Especially the cloud manufacturing paradigm does effect job order production and contract manufacturing. While these paradigm does simplify communication between contractors security and privacy issues have been identified as one of the biggest obstacles in prior research. Within this paper this obstacle is targeted; a platform to close this gap is outlined."
290,Attack Detection in Cyber-Physical Production Systems using the Deterministic Dendritic Cell Algorithm,"Cyber-Physical Production Systems (CPPS) are key enablers for industrial and economic growth. The introduction of the Internet of Things (IoT) in industrial processes represents a new revolution towards the Smart Manufacturing oncept and is usually designated as the 4th Industrial Revolution. Despite the huge interest from the industry to innovate their production systems, in order to increase revenues at lower costs, the IoT concept is still immature and fuzzy, which increases security related risks in industrial systems. Facing this paradigm and, since CPPS have reached a level of complexity, where the human intervention for operation and control is becoming increasingly difficult, Smart Factories require autonomic methodologies for security management and self-healing. This paper presents an Intrusion Detection System (IDS) approach for CPPS, based on the deterministic Dendritic Cell Algorithm (dDCA). To evaluate the dDCA effectiveness, a testing dataset was generated, by implementing and injecting various attacks on a OPC UA based CPPS testbed. The results show that these attacks can be successfully detected using the dDCA."
291,The Industrie 4.0 Asset Administration Shell as Information Source for Security Analysis,"One of the essential concepts of the Reference Architecture Model Industrie 4.0 (RAMI4.0) is the uniform modelling of assets by means of a common meta-data model called the Asset Administration Shell (AAS). However, important practical experience with this concept is still missing, as not many use cases for the AAS have yet been implemented. Thus, practical issues within the AAS concept and respective solutions are hard to identify. In this paper, presents our experience with the implementation of an AAS use case. The AAS is used as information source to create an ontology, which is then used for security analysis. The paper discusses the use-case-specific modelling language selection and provides a practical examination of several of our implementations that use OWL and OPC UA together. Furthermore, it provides recommendations for the implementation of Asset Administration Shells for this and similar use cases."
