"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simplifying functional safety communication in modular, heterogeneous production lines","D. Etz; T. Frühwirth; A. Ismail; W. Kastner","Institute of Computer Engineering, TU Wien; Institute of Computer Engineering, TU Wien; Institute of Computer Engineering, TU Wien; Institute of Computer Engineering, TU Wien","2018 14th IEEE International Workshop on Factory Communication Systems (WFCS)","5 Jul 2018","2018","","","1","4","Heterogeneous production lines as a keystone of smart factories, comprised of machines from various manufacturers, are placing a new range of demands on communication and interoperability. Connectivity is the key element for seamless data communication in Cyber-Physical Systems (CPS). This includes standardized protocols and interfaces as well as vendor neutral technologies. An important aspect of a production line, is functional safety and its technical implementation. Up to now, safety-relevant connections between devices of different manufacturers have been implemented using dedicated cables and line monitoring. The aim of this paper is to design an integrated safety architecture based upon existing technologies. The method proposed in this paper aims at achieving functional safety connectivity, along with non-safe data traffic, based on the vendor-neutral technologies Ethernet, Time-Sensitive Networking (TSN), and OPC Unified Architecture (OPC UA).","","978-1-5386-1066-4","10.1109/WFCS.2018.8402371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402371","Functional Safety;Interoperability;Real-Time;Unified Communication;OPC UA;TSN","Safety;Protocols;IEC Standards;Production;Delays;ISO Standards","local area networks;production engineering computing;protocols;safety;safety systems;software architecture","line monitoring;integrated safety architecture;functional safety connectivity;vendor-neutral technologies Ethernet;functional safety communication;modular production lines;heterogeneous production lines;smart factories;seamless data communication;standardized protocols;vendor neutral technologies;production line;safety-relevant connections;cyber-physical systems;CPS;Ethernet;time-sensitive networking;TSN;OPC unified architecture;OPC UA","","10","","8","IEEE","5 Jul 2018","","","IEEE","IEEE Conferences"
"Throttled service calls in OPC UA","A. Ismail; W. Kastner","Institute of Computer Aided Automation, Technische Universität Wien, Vienna, Austria; Institute of Computer Aided Automation, Technische Universität Wien, Vienna, Austria","2018 IEEE International Conference on Industrial Technology (ICIT)","30 Apr 2018","2018","","","1658","1663","The Open Platform Communications Unified Architecture (OPC UA) standard specifies the use of a push-based communication model for service calls in its client-server architecture. This paper clarifies how this model leaves OPC UA Servers vulnerable to request overload. A solution based on rate throttling is demonstrated to counter this vulnerability. The requirements of the resulting service are quantified and an open-source prototypical implementation is built using the Apache ZooKeeper and open 62541 libraries.","","978-1-5090-5949-2","10.1109/ICIT.2018.8352430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352430","","Uninterruptible power systems","application program interfaces;client-server systems;open systems;security of data","open-source prototypical implementation;open 62541 libraries;throttled service calls;Open Platform Communications Unified Architecture standard;client-server architecture;request overload;rate throttling;push-based communication model;OPC UA Servers;Apache ZooKeeper","","2","","16","IEEE","30 Apr 2018","","","IEEE","IEEE Conferences"
"On enhancing reconfigurability of I/O connection and access in lEC 61499","T. Lyu; U. D. Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2022 IEEE 31st International Symposium on Industrial Electronics (ISIE)","25 Jul 2022","2022","","","818","823","The efficiency and flexibility of data connection establishment in the automation system development architecture of lEC 61499 is important to support portability and flexibility. To improve this aspect, this paper proposes a method integrating OPC UA functionalities and I/O-accessing capabilities, introducing two function blocks, SmartlX and SmartQX. The solution is illustrated with one use case and comparison with the existing solution. The comparison shows that our proposed solution can improve efficiency, flexibility and portability for lEC 61499 by making fewer changes to existing systems from debugging mode to production mode.","2163-5145","978-1-6654-8240-0","10.1109/ISIE51582.2022.9831506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9831506","IEC 61499;OPC UA;4diac;digital twin;smart factory;virtual commissioning","Industrial electronics;Automation;Production;Debugging;IEC Standards","factory automation;IEC standards;input-output programs;production engineering computing;program debugging;service-oriented architecture","automation system development architecture;IEC 61499;I/O connection reconfigurability;I/O access reconfigurability;OPC UA functionalities;data connection portability;data connection flexibility;data connection efficiency;debugging mode;production mode;SmartIX;SmartQX","","","","16","IEEE","25 Jul 2022","","","IEEE","IEEE Conferences"
"A Plug and Produce-inspired Approach in Distributed Control Architecture: A Flexible Assembly Line and Product Centric Control Example","U. D. Atmojo; J. O. Blech; V. Vyatkin","Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2020 IEEE International Conference on Industrial Technology (ICIT)","16 Apr 2020","2020","","","271","277","There is an increasing trend of manufacturing new products in small lot sizes even though their specifications may not be known before the order actually arrives. This requires a high level of agility and in particular support on the software side. Thus, dynamic reconfiguration of controllers and appropriate communication paradigms that can adapt to the changing infrastructure on the factory floor are desirable. This paper presents work towards introducing a plug and produce-style approach, a paradigm where devices can be dynamically added, removed, or reconfigured on the factory floor. Our example is based on OPC UA on an assembly line with an IEC 61499-based environment to introduce flexibility, interoperability, and fault tolerance.","2643-2978","978-1-7281-5754-2","10.1109/ICIT45562.2020.9067278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9067278","plug and produce;distributed;product-centric control;OPC UA;service-oriented architecture;IEC 61499;flexibility","Plugs;Software;Production facilities;IEC Standards;Robots;Computer architecture","assembling;distributed control;fault tolerance;flexible manufacturing systems;IEC standards;lot sizing;manufactured products;open systems;order processing;production engineering computing;production facilities","factory floor;distributed control architecture;flexible assembly line;plug-inspired approach;produce-inspired approach;product centric control;product manufacturing;dynamic controllers reconfiguration;communication paradigms;OPC UA;IEC 61499-based environment;interoperability;fault tolerance;lot sizes;order processing","","3","","22","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"Experiences from Adjusting Industrial Software for Worst-Case Execution Time Analysis","P. Denzler; T. Frühwirth; A. Kirchberger; M. Schoeberl; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Research Department, Austrian Center for Digital Production, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Department of Applied Mathematics and Computer Science, DTU, Lyngby, Denmark; Institute of Computer Engineering, TU Wien, Vienna, Austria","2021 IEEE 24th International Symposium on Real-Time Distributed Computing (ISORC)","9 Jul 2021","2021","","","62","70","Worst-case execution time (WCET) analysis is a prevalent way to ensure the timely execution of programs in time-critical systems. With the advent of new technologies such as fog computing and time-sensitive networking (TSN), the interest in timing analysis has increased in industrial communication. This paper highlights experiences made while adjusting the publisher of the open62541 OPC UA stack to enable WCET analysis, following a simple process combined with the open-source platform T-CREST. The main challenges are the required knowledge about the code and the specific communication software characteristics like variable message sizes. Other findings indicate the need for other types of annotation for indirect recursion or callback functions. The paper provides the foundation for further research on adjusting the implementation of existing industrial communication protocols for WCET analysis.","2375-5261","978-1-6654-0414-3","10.1109/ISORC52013.2021.00019","Austrian Research Promotion Agency (FFG)(grant numbers:854187); European Union(grant numbers:764785); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9470243","worst-case execution time;industrial software;transformation rules;real-time communication;OPC UA","Protocols;Annotations;Industrial communication;Real-time systems;Timing;Time factors;Middleware","embedded systems;program diagnostics;protocols;real-time systems","industrial software;worst-case execution time analysis;time-critical systems;time-sensitive networking;timing analysis;paper highlights experiences;open62541 OPC UA stack;WCET analysis;open-source platform T-CREST;specific communication software characteristics;industrial communication protocols","","2","","35","IEEE","9 Jul 2021","","","IEEE","IEEE Conferences"
"On Developing a Collaborative and Interoperable Mobile Production Platform for an Agile Factory: A Case Study","U. D. Atmojo; J. O. Blech; V. Vyatkin; M. Roni; V. Vo; R. Rumiantcev; K. Leino; M. Kuusisto","Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Dept. of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2019 IEEE International Conference on Industrial Internet (ICII)","19 May 2020","2019","","","307","308","This paper reports on the development of a ""mobile production platform"" (MPP), which comprises a mobile robot with lifting capability and an ABB IRB14000 YuMI precision robot mounted on top of it. The MPP is capable of moving to different locations in the production space to perform production. Different programming languages and specification standards are used such as the graphical IEC 61499 language, Robot Operating System (ROS), and ABB's Rapid language. To allow easy communication with other actors programmed in different languages on the factory floor, the MPP utilizes the well-known OPC UA, the communication standard defined by the Reference Architectural Model Industrie 4.0 (RAMI 4.0).","","978-1-7281-2977-8","10.1109/ICII.2019.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065072","OPC-UA;Mobile-robot;IEC-61499;ROS;Factory-of-the-Future;Rapid;Interoperability;Industry-4.0","Production facilities;Automation;IEC Standards;Service robots;Conferences","agile manufacturing;control engineering computing;formal specification;IEC standards;industrial control;industrial robots;mobile robots;object-oriented languages;open systems;production engineering computing","Robot Operating System;ABB's Rapid language;factory floor;communication standard;agile factory;Reference Architectural Model Industrie 4.0;collaborative interoperable mobile production platform;graphical IEC 61499 language;specification standards;production space;MPP;ABB IRB14000 YuMI precision robot;lifting capability;mobile robot","","1","","15","IEEE","19 May 2020","","","IEEE","IEEE Conferences"
"Flexible Safety Systems for Smart Manufacturing","D. Etz; T. Frühwirth; W. Kastner","Institute of Computer Engineering, Automation Systems Group, TU Wien; Institute of Computer Engineering, Automation Systems Group, TU Wien; Institute of Computer Engineering, Automation Systems Group, TU Wien","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","1123","1126","Smart manufacturing is realizing the idea and potential of Industry 4.0 in reality. An essential part of smart manufacturing are production facilities that dynamically adapt to changing production needs. This brings completely new challenges to functional safety systems, which are mandatory for the protection of man, machine, and environment. Currently, functional safety systems are designed and certified in a static way. The safety design and the configuration are derived from the risk assessment which is performed during the design of a machine. Once the system is put into operation, the safety configuration is not changed anymore. This approach constitutes an impediment to flexibility which smart manufacturing production facilities require nowadays.This paper proposes the design of a self-organizing safety system with the objective to assist an engineer who operates a smart manufacturing facility by discovering all safety-related devices and generating automatically a suitable safety configuration. This configuration will be deployed to the system automatically after adaptation and validation by the safety engineer. The proposed self-organizing safety system, simplifies the safety configuration in a dynamically changing environment. Consequently, it would reduce engineering efforts and decrease machine downtime which improves profitability.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9211905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211905","Smart Manufacturing;Industry 4.0;Functional Safety;Interoperability;Flexibility;Real-Time;Unified Communication;OPC UA;TSN","Profitability;Conferences;Production facilities;Safety;Fourth Industrial Revolution;Risk management;Manufacturing automation","accident prevention;health and safety;intelligent manufacturing systems;production engineering computing;production facilities;risk management;safety systems","self-organizing safety system;Industry 4.0;safety configuration;smart manufacturing facility;safety design;functional safety systems;production facilities;flexible safety systems;dynamically changing environment;safety system;safety-related devices","","13","","14","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"Dynamic Adapter Connections for IEC 61499","P. Kajola; J. O. Blech; U. Dwi Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2021 22nd IEEE International Conference on Industrial Technology (ICIT)","18 Jun 2021","2021","1","","1054","1059","We present work on dynamic adapter connections for IEC 61499. Adapters in IEC 61499 simplify programs by encapsulating different event and data connections. Traditionally the plug and sockets are determined at design time of a system. In contrast, dynamic adapter connections do not statically link subsystems at design time, but allow to exchange interacting subsystems at runtime by retargeting plugs and sockets. This paper presents the dynamic adapter connection concept. In addition, we present an implementation concept based on OPC UA and an example.","","978-1-7281-5730-6","10.1109/ICIT46573.2021.9453625","Business Finland; European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453625","","Temperature sensors;Runtime;Sockets;Tools;Manufacturing;Object recognition;IEC Standards","IEC standards;production engineering computing;protocols","dynamic adapter connections;IEC 61499;data connections;sockets;plugs;interacting subsystems;OPC UA concept","","3","","14","IEEE","18 Jun 2021","","","IEEE","IEEE Conferences"
"An Integrated Implementation Methodology of a Lifecycle-Wide Tracking Simulation Architecture","G. S. Martínez; T. A. Karhela; R. J. Ruusu; S. A. Sierla; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Helsinki, Finland; VTT Technical Research Center of Finland, Espoo, Finland; VTT Technical Research Center of Finland, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Helsinki, Finland; Department of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden","IEEE Access","2 Apr 2018","2018","6","","15391","15407","A tracking simulator is a decision support application in which dynamic estimation is used to continuously align the results of an online first principle simulation model with the measurements of the targeted plant. They are a holistic application where current and future plant information is available for operation support of process plants. Existing tracking simulators have focused on the application of online and offline methods for estimation of their underlying first principle models (FPMs). However, these systems have been less attractive than similar alternatives based on empirical modeling, due to the lack of systematic approaches that address challenges across the tracking simulation lifecycle, such as laborious development of FPMs and high integration costs with the process or with other systems and simulation methods. In contrast, the approach presented in this paper integrates a tracking simulation architecture and various simulation methods to address the described challenges as follows. In order to tackle timeconsuming development of FPMs, a method for generating tracking simulation models from models created during design phase is proposed. The process of connecting the tracking simulator to the physical plant and initializing the tracking simulator is automated. An optimization method for tracking simulation applications is developed to overcome drawbacks of available methods. The simulation architecture developed applies the proposed methodology during the various phases of tracking simulation. Furthermore, it exploits industrial communication standards to avoid the need for point-to-point integration of various simulators and other systems used over the course of the tracking simulator lifecycle. The work is demonstrated with laboratory process equipment.","2169-3536","","10.1109/ACCESS.2018.2811845","Engineering Rulez Research Project through Tekes, Technical Research Centre of Finland, Aalto University, Equa, Fennovoima, Fortum, Masinotek, Outotec, Prosys OPC, PSK, Pöyry, and Semantum; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8306506","Online simulation;OPC UA;process simulation;tracking simulation;simulation architecture","Adaptation models;Estimation;Predictive models;Process control;Monitoring;Target tracking;Optimization methods","decision support systems;digital simulation;optimisation;product life cycle management;production engineering computing","online first principle simulation model;tracking simulation models;tracking simulator lifecycle;lifecycle-wide tracking simulation architecture;decision support application;process plants operation support;optimization method;industrial communication standards;process simulation;process plant lifecycle","","14","","60","OAPA","5 Mar 2018","","","IEEE","IEEE Journals"
"Tunnelling and Mirroring Operational Technology Data with IP-based Middlewares","P. Denzler; D. Ramsauer; W. Kastner","Automation Systems Group, TU Wien, Vienna, Austria; Automation Systems Group, TU Wien, Vienna, Austria; Automation Systems Group, TU Wien, Vienna, Austria","2021 22nd IEEE International Conference on Industrial Technology (ICIT)","18 Jun 2021","2021","1","","1205","1210","Accessing runtime information originated from Operational Technology (OT) communication protocols by Information Technology (IT) applications remains a challenging task. Middlewares and gateways could provide a possible solution to bridge this OT/IT gap. In this context, this paper examines the feasibility of interconnecting legacy OT protocols via different middlewares and gateways by presenting two simplified scenarios. Each scenario exemplifies a possible use-case by either mimicking bidirectional tunnelling or propagating (mirroring) of automation data. Both scenarios use OPC Unified Architecture (OPC UA) and Message Queuing Telemetry Transport (MQTT) and a respective gateway prototype. The paper concludes by outlining future research challenges by discussing the limitations of the selected scenarios related to configuration, deployment and scalability.","","978-1-7281-5730-6","10.1109/ICIT46573.2021.9453658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453658","Industrial communication;Industrial Internet of Things;middleware;gateway","Protocols;Automation;Runtime;Scalability;Prototypes;Logic gates;Tunneling","internetworking;IP networks;middleware;queueing theory;telemetry;transport protocols","Operational Technology communication protocols;Information Technology;legacy OT;automation data;gateway prototype;IP-based middlewares;runtime information;OPC UA;message queuing telemetry transport;MQTT;OT-IT gap;operational technology data;bidirectional tunnelling","","2","","30","IEEE","18 Jun 2021","","","IEEE","IEEE Conferences"
"Communication and container reconfiguration for cyber-physical production systems","P. Denzler; D. Ramsauer; T. Preindl; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","8","The Fourth Industrial Revolution, or Industry 4.0, aims to advance flexibility and reconfigurability in current production systems. This paper sets cyber-physical production systems in context with Industry 4.0 concepts and architectures. The combination points out the importance of the interplay between communication and component reconfiguration when changes occur. A solution that utilizes fog computing, container-based deployment and Kubernetes functionality is presented and evaluated in simplified reconfiguration scenarios. The findings show the feasibility and the challenges of the solution and point towards further research to successfully create reconfigurable cyber-physical production systems.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613675","Cyber Physical Production Systems;Configuration;Fog computing;OPC UA","Production systems;Conferences;Computational modeling;Computer architecture;Containers;Software;Manufacturing automation","cyber-physical systems;factory automation;production engineering computing;reconfigurable architectures","Fourth Industrial Revolution;flexibility;reconfigurability;production systems;component reconfiguration;container-based deployment;simplified reconfiguration scenarios;reconfigurable cyber-physical production systems;container reconfiguration;Industry 4.0;Kubernetes functionality","","3","","39","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Seamlessly Interfacing Automation Systems with Simulation Models","A. Kurtovic; G. Steindl; W. Kastner","Institute of Computer Engineering TU Wien, Vienna, Austria; Institute of Computer Engineering TU Wien, Vienna, Austria; Institute of Computer Engineering TU Wien, Vienna, Austria","2022 IEEE 5th International Conference on Industrial Cyber-Physical Systems (ICPS)","18 Jul 2022","2022","","","01","06","Simulations are important in the context of Industry 4.0, especially in the commissioning phase of Cyber-Physical Systems (CPS). A problem that often occurs in retrofitting scenarios, in which simulation models and control systems are partly already in place, is that the interfaces of the simulation models and the automation system are not interoperable. Modifying the interfaces prolongs development time and possibly introduces errors. This paper presents a method that attempts to solve this issue by semi-automatically connecting the interfaces to establish data flow between these systems. A proof of concept implementation is developed along a use case of a thermal-hydraulic system to evaluate the feasibility of the proposed approach. Therefore, the Functional Mock-up Interface (FMI) and OPC Unified Architecture (OPC UA) are used, as they are widely accepted standards for simulation and machine-to-machine communication in the industrial domain.","","978-1-6654-9770-1","10.1109/ICPS51978.2022.9816912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816912","System Simulations;Automation;Cyber-Physical Systems","Machine-to-machine communications;Conferences;Cyber-physical systems;Control systems;Fourth Industrial Revolution;Standards;Context modeling","control engineering computing;cyber-physical systems;machine-to-machine communication;open systems;production engineering computing;user interfaces","simulation models;control systems;automation system;thermal-hydraulic system;functional mock-up interface;commissioning phase;cyber-physical systems;seamlessly interfacing automation systems;OPC unified architecture;machine-to-machine communication;Industry 4.0;retrofitting scenario","","1","","15","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
