,Document Title,Abstract
27,Real-time capable OPC-UA Programs over TSN for distributed industrial control,"A key aspect of Industry 4.0 is the continuous interconnectedness of components. The standardized industrial communication protocol OPC UA offers a solution to this problem by enabling the exchange of data between the shop floor level and the inter-enterprise level. Due to the integration of the Time Sensitive Network (TSN) into OPC UA, it is now even possible to exchange information in real-time. Especially on the shop floor, there are numerous heterogeneous distributed devices from sensors to robots which must communicate with each other in real-time to achieve a distributed industrial control. Therefore, we propose an approach to combine real-time communication over TSN with OPC UA Programs to synchronize multiple distributed OPC UA Programs and exchange process data between them without losing real-time guarantees. This can be seen as the enabler of Plug-and-Produce with real-time requirements."
37,Early Lessons Learned from the Development of a Local OPC UA-based Robotic Testbed for Research,"OPC UA has been emerging as a widely-adopted standard in the industry. An OPC UA system represents its resources using an information model. This information model relies on the base OPCUA information model proposed by OPC Foundation, and is extensible with information models from other companion specifications and user-defined information models. When the system specification and design evolve, system developers need to update the information model from the system design. It is tricky for testbeds that frequently are updated with new devices, protocols, and development tools demanded by different use cases. This paper shares our long-term OPC UA-based robotic testbed for Industry 4.0 research and the strategy to develop it. The testbed's development follows the SysML standard for system specification and design and the OPC UA standard for system implementation. Its information model relies on the information models: OPCUA for Devices and VDMA OPC UA for Robotics."
40,OPC UA Information Model and a Wrapper for IEC 61499 Runtimes,"OPC UA is considered as an important communication technology for Industry 4.0 components. On the other hand, IEC 61499 is one of the technologies available for developing applications to the same components. In this paper, a proposal for an OPC UA information model for IEC 61499 systems is developed in order to enhance communication with IEC 61499 applications through OPC UA. Already existing related information models, particularly OPC UA for Devices and IEC 61131-3, are utilized as models and parts of the design. An OPC UA wrapper for IEC 61499 runtimes is presented as one possible way to implement the information model. Both the information model and the wrapper are then tested through a case study."
41,Research and application of OPC UA server based on resource constrained platform STM32,"In view of the rapid development trend of intelligent manufacturing and the application status of OPC UA protocol in the field of intelligent manufacturing, the requirement of building OPC UA server on resource constrained platform is proposed. By building STM32 platform and FreeRTOS system environment, the transplantation and operation of OPC UA protocol stack in resource limited platform are realized, the main memory space occupied by OPC UA protocol stack is analyzed, and the implementation path is proposed for later optimization. Through experimental verification, the OPC UA protocol stack runs on the resource limited platform, and the server can be widely used and popularized in the resource limited platform."
46,Dynamic Adjustment Mechanism based on OPC-UA Architecture for IIoT Applications,"In much smart Industry Internet of Things (IIoT) applications, there are many emergencies information processing e.g. fire and urgent accidents. However, when data which is from different source and format is lack of collation, integration and preprocess, the server loading will be too heave to process the information on time. This study mainly proposes to establish an Open Platform Communications Unified Architecture (OPC UA) architecture system for IIoT application design and introduces a dynamic node adjustment mechanism to be applied under the OPC UA architecture. The dynamic adjustment node is designed with network bandwidth monitor to solve the problem of excessive network load caused by emergency information transmission in the IIoT applications."
49,An OPC UA Multi-Server Aggregator with Cache Management,"OPC UA (Object Linking and Embedding for Process Control Unified Architecture) has drawn extensive attention in Industrial Internet of Things (IIOT), for it enables secure data exchanges between different operating systems and devices. In the field of industrial control, the applications of OPC UA are gradually extended to the field layer, which adopt the popular client-server interaction model. However, as the number of underling servers increases, the management of the upper layer becomes more difficult. Moreover, there are few kinds of software supporting OPC UA multi-server aggregation currently and they lack effective cache management capability. In order to solve these problems, we design an OPC UA multi-server aggregator with cache management, which enables centralized management of underlying data. Test results show that the proposed aggregator effectively improves the communication efficiency."
50,Conceptual Framework of Smart Factory Based on OPC UA and LSTM Encoder-Decoder,"OPC UA (Open Platform Communications Unified Architecture) is key for multi-heterogeneous software and hardware information integration. Some studies have proposed to apply OPC UA to smartfactory information integration, but most tend to propose concepts and lack application research. While, LSTM Encoder-Decoder (Long Short-Term Memory based Encoder-decoder) is an unsupervised learning method not requiring labeled data. It has good performance in time series data analysis, but few researches relate it with smart factory predictive analysis. This paper proposed a conceptual framework of smart factory based on OPC UA and LSTM Encoder-Decoder technology. Specifically, first, the theories are discussed including the general architecture of smart factory, information integration architecture based on OPC UA and LSTM Encoder-decoder model for smart factory predictive analysis. Then, we introduced the simulation result analysis. Finally, the conclusion was given."
51,Design and Implementation of the Substation Intelligent Auxiliary Control System Based on OPC UA,"At present, the traditional substation auxiliary control system is faced with the following four problems: poor real-time capability to abnormal response, high dependence on people when solving malfunctions, the communication, deployment and expansion of different underlying devices, and the lack of security mechanism. To solve these problems or optimize the functions, an intelligent substation auxiliary control system is proposed. The system innovatively applies OPC UA to the construction of the auxiliary control system. First, through the use of OPC UA's unique object-oriented modeling method as well as the joint specification modeling of OPC UA and IEC61850, to solve the data communication problems caused by heterogeneous devices. Second, applying the Client/Server mode to realize the remote access from authorized mobile clients and give instructions, to cope with abnormal conditions, which reduces the dependency on people. Clients of other authorized enterprises are allowed to access the working data of the devices they are interested in, makes full use of massive data and ensures the information security of the system. Third, Pub/Sub mode is applied to enable the underlying devices to communicate directly with each other through the middleware, which reduces the response time of equipment joint debugging and improve the real-time performance. In addition, through OPC UA, the industrial data of the system can be transmitted over the Internet, realizing the combination of the Internet of Things and the Internet, which is an idea of the combination of the two in the future."
52,Cross-Platform Device Monitoring System Based on OPC UA,"With the development of data monitoring system for industrial equipment, the convenience of data monitoring is paid more and more attention. Traditional data monitoring mostly uses specialized software or visual interface on the device to achieve the purpose of monitoring data, the workflow will be more complex. Even if there is a unified device to receive the data, it is not realistic to monitor all the time. In addition, for the load problem of the micro device, mounting the OPC UA client by itself is heavy. Therefore, in order to improve the visibility of field device data, reduce the load of micro devices and simplify the complex workflow, this paper studies the cross-platform device monitoring system based on OPC UA. The local OPC UA server is used to collect data from industrial devices, and the collected data is processed and transferred to the cloud storage system. The stateless RESTful HTTP request style simplifies the complexity of implementing data transfer between a generic client (browser or other HTTP client) and a Web server, and truly enables users to monitor data anytime and anywhere without consuming too many resources."
64,Implementation of a Bi-Directional Digital Twin for Industry 4 Labs in Academia: A Solution Based on OPC UA,"With the increased demands of smarter manufacturing approaches around the world, the process of industrial digital transformation is being pushed in and by both industry and academia. Learning factories and testing laboratories have been developed for decades for teaching and training purposes in Academia. Nowadays, as the future trend in industry, Industry 4 is being merged into the latest development of learning factories and testing laboratories. This paper presents the development and implementation of a bi-directional digital twin application in an Industry 4 testing laboratory at University of South Australia. The solution is based on the establishment of OPC UA connection between two cobots of different brands, the use of NX Siemens as a CAD simulation platform and a SCADA system from Inductive Automation. Due to differences between system interfaces, communication between different modules was challenging. Python OPC UA servers were developed. The digital twin replicates the physical system and is driven by inputs from the assembly cell."
66,Research and application of information Model of industrial Robot Welding System based on OPC UA,"As is known to all, industrial robot welding system in the intelligent manufacturing workshop plays An increasingly important role. In order to build an advanced industrial robot welding system and make it more intelligent, this paper proposed an information modeling scheme of industrial robot welding system based on OPC UA. The application of OPC UA information modeling technology in industrial robot welding system is conducive to the standardization and unification of different equipment interface protocols and the improvement of data transmission efficiency. This technology can be extended to the allconnected manufacturing platform, greatly reducing the manufacturing cost and realizing the all-dimensional interconnection of everything."
68,Node-Red and OPC UA Based Lightweight and Low-Cost Historian with Application in the Water Industry,"In the context of the Industrial Internet of Things (IIoT), the interoperation of structures and the OPC UA interfacing is of high importance for automation and SCADA systems. Besides process monitoring and control, the historian concept is gaining more and more importance when data circulates vertically and horizontally on automation and supervisory levels. The specificity of the water industry requires a decentralized historian that is able to handle particular needs of local processes. The current work proposes a lightweight and low-cost historian that is applicable on both automation and SCADA levels. The solution consists of a main Java application that embeds the Node-red platform for interfacing with local structures and implements the OPC UA protocol. The developed historian is tested on objectives from the water industry. A water treatment plant test scenario is presented, the results proving the effectiveness of the solution."
71,A Hybrid Communication Framework Based Remote Management Architecture with OPC UA Information Model Construction,"Cloud manufacturing aims to carry out large-scale collaborative production through remote equipment management. To improve management efficiency, it is necessary to construct a unified information model and an adaptive communication framework for manufacturing lines with heterogeneous (high reliable/ low load) needs. OPC UA has become a prominent solution for remote configuration with extensible information models and various transport mechanisms. However, the existing solutions based on OPC UA focus on the information model and communication framework for the machine level, which is hard to support efficient remote management of the production line. In this paper, we construct the model of the process and parameter information in production-line level with a unified manner, which enables unified scheduling, configuration, and monitoring. The operational data are modeled hierarchically to reduce the amount of data transmission during monitoring. The hybrid communication framework is designed by integrating the Client-Server and PubSub models with edge assistance, which is to meet the heterogeneous communication requirements. We implement the management architecture on the physical platform to verify the performance. The experiments show that our architecture is suitable for remote configuration in terms of the combined performance of packet loss rate and CPU load with a massive connection."
75,Towards an OPC UA Compliant Programming Approach with Formal Model of Computation for Dynamic Reconfigurable Automation Systems,"This paper proposes Service Oriented SystemJ - OPC UA (SOSJ - OPC UA), a service-oriented programming approach which targets dynamic industrial manufacturing systems. An extension of SOSJ, SOSJ - OPC UA utilizes OPC UA standard to introduce service orientation, enable interoperability with different actors in the systems, and compliance with Reference Architecture Model for Industrie 4.0 (RAMI 4.0) which defines OPC UA as the communication standard. The paper begins by describing new concept on the synergy of SOSJ and OPC UA. Then, SOA information exchange mechanisms which utilize OPC UA are defined that enable parties to find each other. SOSJ - OPC UA is then demonstrated in a simple manufacturing example to demonstrate its capability."
76,Automated OPC UA address space generation from existing data structures,"If existing communication systems are converted to OPC UA, an OPC UA information model is required for the existing data structures. In small systems, an information model can be created manually with reasonable effort. In systems with numerous data structures, however, the effort for manual creation is too demanding. In order to continue using the existing data structures in the code without having to handle OPC UA-specific data structures, a transformation between the existing data structures and the OPC UA information model is necessary. This article presents a possibility of generating an OPC UA information model by a description of the existing data structures, e.g. generated based on ROS messages. The description of data structures is evaluated at runtime and linked with the existing data structures. The different representations for the different access types (read, request/response) in the OPC UA information model are discussed. In addition, an OPC UA client can read the information model from the descriptions of the data structures and write the read data back to the original data structure. In this way, both the provision of the data via OPC UA and the reception are possible. The adaptation effort of the existing software is minimal, since the existing structures are automatically populated and can still be used as usual."
79,OPC UA based Universal Edge Gateway for Legacy Equipment,"The objective of this study was to propose universal edge gateway that can transfer information of various legacy equipment conveniently and cost effectively to IT system for smart factory. The proposed universal edge gateway converts information from various legacy equipment used at the manufacturing site to OPC UA protocol. Also, ISA 95 information model was applied to realize the same equipment interface for all IT systems, including MES and ERP. It also includes hardware that can connect additional sensors, required for legacy equipment and configuration tools that allow operators to use simple gateways without modifying the equipment. As a result, in IT systems, it is possible to access the information of legacy equipment easily with the same interface, and to reduce the cost and time for building smart factory."
81,OPC UA Aggregation Server in the Fog,"Adopting the Fog computing paradigm in traditional Cloud infrastructures reduces latency and optimizes network consumption between data providers and data consumers because the system processes the data closer to its source. However, interoperability issues remain as heterogeneous and distributed data sources with different information models must be accessed for performing Cloud-level processing and analysis. This paper describes an integration architecture based on the OPC UA Aggregation Server paradigm, which introduces Fog-level data processing in industrial automation environments. The proposed architecture allows the creation of a configurable aggregated address space at Fog-level where information from data sources at Edge-level is integrated and served to consumers at Cloud-level. The architecture was tested both to verify that the functional requirements are met, and to analyse the time costs involved in the aggregation of Edge-level servers."
82,Implementation of Distributed Smart Factory Platform based on Edge Computing and OPC UA,"IoT (Internet of Things) is a core technology of hyper connected society that connects and interacts with all things, spaces and environments in the real world. Recently, IoT has evolved into edge computing technology that enhances data processing and analysis by decentralizing the computing power that was performed in the central cloud to an end device. Since edge computing is a structure suitable for a manufacturing environment requiring real-time processing of data and fast response, many studies have considered edge computing as an optimized platform technology for constructing a smart factory. Therefore, we design and implement a distributed smart factory platform for application to the factory environment based on the distributed architecture of edge computing. The proposed platform uses the data communication mechanism based on OPC UA standard to support M2M interaction between distributed edge devices. The implementation results are applied to the smart factory test bed, which is constructed through a preliminary study for applicability verification."
88,Applying Skill-based Engineering using OPC-UA in Production System with a Digital Twin,"The increasing demand for flexibility in the production industry has brought the need for plug and produce systems, in which components from various vendors and suppliers can be easily integrated into the production plant and without a lot of effort on the ground-level these components can be controlled. This paper proposes a novel engineering approach, combining the IEC 61499 component-based organisation of software with high-level command interface, known as skills, communicated between the components via OPC-UA. The approach is illustrated on a laboratory-scale flexible assembly system, composed of pneumatic jacks, mechatronic conveyors, robots and AGV's. The proposed platform demonstrates the ease of improving flexibility in the production scenarios."
97,Information Modeling of Cyber-Physical Systems using OPC-UA,"Achieving interoperability is a great challenge in the area of Cyber-Physical Systems (CPSs) because of the specificities of these systems, which are complex distributed systems, mostly in the form of systems of systems that are an intersection of information and operational technologies with emergent behavior, acting in different time scales, with different granularities and accuracies, interacting with the operating environment. The main purpose of the research is to propose an information model for the development of service-oriented CPSs using OPC UA and generate sub-models for the Asset Administrative Shell (ASS). CPSs are multi-layered, service-oriented, and agent-based systems that enable the grouping of system elements at levels, reduce connections between modules, facilitate abstractions, and allocate responsibilities. The proposed approach is illustrated by an example of improving the interoperability of a pilot batch reactor."
98,RPC-Based OPC-UA Agent for Legacy PLCs,"This paper proposes an agent for OPC unified architecture (UA) that enables UA information service and client functions in legacy programmable logic controllers (PLC). The agent runs on a separate machine connected to the PLC using a dedicated link and maintains shared memory with the PLC. Based on the synchronized variables, the agent provides information models and executes client function blocks on behalf of the PLC. One important design feature is that the agent uses synchronized variables to implement a simplified remote procedure call (RPC) mechanism that conforms to the IEC 61131-3 functional model. This allows standard OPC-UA client functions to be used in existing PLC programs that only support numeric types and do not support strings or complex structures."
100,Standalone OPC UA Wrapper for Industrial Monitoring and Control Systems,"OPC unified architecture (UA), a communication standard for the manufacturing industry, enables exchanging control and management data among distributed entities in industrial automation systems. OPC UA wrapper is a migration strategy that provides UA clients with seamless access to legacy servers having OPC classic interfaces. This paper presents the design of a standalone OPC UA wrapper and discusses its performance through extensive experiments using a prototype implementation. The wrapper consists of two main components, i.e., UA server and classic client, which communicate with each other via shared memory and semaphore. One important feature of the design is that it employs a distributed component object model runtime library implemented in Java for platform independence. This makes it possible to build a cost-competitive wrapper system by using commercial off-the-shelf non-Windows solutions with low-cost microprocessors. Another key feature is the event-driven update interface between the UA and classic components, which we propose as an alternative to the sampling-based mechanism for the reduced delay. Through experiments using workloads from an industrial monitoring system, we present a systematic approach of identifying the system parameters having a direct impact on the wrapper performance and eventually tuning them such that the read and subscription services of OPC UA exhibit the best performance."
102,Automated Reasoning and Knowledge Inference on OPC UA Information Models,"The fourth industrial revolution demands flexibility, adaptability, transparency and semantic interoperability. Within the German Industry 4.0 initiative, the Reference Architecture Model Industrie 4.0 (RAMI4.0) has recently been standardized and OPC Unified Architecture (OPC UA) is listed as the sole recommendation for implementation of a communication layer. Even though OPC UA helps bridge the interoperability gap at the automation level, its semantic has not yet been formally defined and an efficient automated reasoning and knowledge inference on the OPC UA address space is therefore not yet possible. This paper addresses this issue by presenting a solution to infer knowledge from OPC UA information models. By analyzing and comparing the semantic expressiveness of the OPC UA address space with semantic knowledge representation formalisms such as RDF and OWL, we derived and implemented a solution to transform an OPC UA information model into an RDF-Graph expressing an OWL Ontology. Using the generated ontology, we were able to run a true reasoning task directly on the OPC UA address space. In this paper, the developed approach is conveniently validated on various case studies involving online factory reconfiguration, intelligent energy management, and human-machine interfaces."
108,Industrial data-collector by enabling OPC-UA standard for Industry 4.0,"Industrial Communication Systems have become an increasingly essential part of factory automation, motion control, networked control systems. New and real-time capable solutions are required to support the always more present Industry 4.0 paradigm: for both local and wide area networks. At the same time, standardization has also started moving in this direction: in particular, for future open and dynamic system architectures, promising activities based on OPC-UA are serious attempt to satisfy stricter requirements for interoperability and information modeling with hard real-time needs. For these reasons, in this paper the development of an OPC-UA based architecture is described: the main target is to build a â€œcollectorâ€ able to collect data from the shop-floor and convert them in the OPC-UA standard for an agile and effective vertical integration. The subsequent analysis carried out on the testbed mainly focuses on the performance evaluation of the method. To achieve high-performance data transmission in a fair environment, a parallel communication mechanism has been proposed."
111,Ontology-Based OPC UA Data Access via Custom Property Functions,"Cyber Physical Production Systems have a need of sharing and interlinking information and knowledge over different domains. In the area of industrial automation, OPC Unified Architecture (OPC UA) is a widely used and established standard for communication and information modeling. We propose an ontology-based OPC UA data access method utilizing custom property functions, which enables interlinking between OPC UA information and other factory data. To avoid duplicated data and to reduce the communication overhead in the proposed method, the OPC UA run-time data are loaded on-demand and are not persistently stored in the triplestore. To enable fast and easy ontology-based access and interlinking of the OPC UA information, the needed ontology is automatically generated from the OPC UA information model. A proof of concept demonstrates the application of our approach for a laboratory use-case of a Packed-Bed Regenerator."
116,An OPC UA PubSub Implementation Approach for Memory-Constrained Sensor Devices,"Open Platform Communications Unified Architecture (OPC UA) comprises 14 specifications to deploy an industrial system with reliability, security, and interoperability. While realizing this standard, the devices of the considering industrial system must have enough capabilities in computation and storage. It is a challenge in the Industrial Internet of Things (IIoT), a scenario in which field-level devices can be memory-constrained sensor devices. Tailoring OPC UA to fit such devices requires advanced programming skills; otherwise, system developers must simplify or remove some essential features of OPC UA. This paper presents another implementation approach to tailor OPC UA PubSub, a specification for the publish-subscribe messaging pattern, into memory-constrained sensor devices. This approach, titled OPC UA PubSub-C, proposes using a remote OPC UA server as a configurator to operate large-memory-footprint tasks for field-level devices."
118,Generation of OPC UA Companion Specification with Eclipse Modeling Framework,"Open Platform Communications Unified Architecture (OPC UA) is a relevant technology in the field of machine-to-machine communication that defines data transport protocols and standardizes information modeling. Instead of defining a generalized world model, domain-specific models enable interoperability. These domain-specific models can be developed and released as Companion Specifications. More than 40 Companion Specifications are currently in development or already released. In this paper the current approaches to generate an OPC UA information model or an OPC UA Companion Specification are analyzed. A new modeling tooling based on the Eclipse Modeling Framework (EMF) is presented. This tooling demonstrates the potential of a model-driven approach for the creation of the information model and the structured part of the descriptive text document of a Companion Specification."
119,Quarry: An open source tool for OPC UA SPARQL queries over hybrid architectures using query rewriting,"OPC UA is an open set of specifications for communication and modelling that have found extensive use in industrial automation. OPC UA information models are part of the specification and are used by asset owners and equipment vendors to describe the static parameters and time varying signals belonging to equipment in standardized ways. Such descriptions are aimed to drastically reduce the cost of integrating software managing these industrial assets. Hindering the adoption of OPC UA information models is their inherent complexity and the problematic specification of query support. Previous research has implemented the OPC UA query specification using SPARQL and found that formulating queries in SPARQL natively provides shorter queries that are easier to formulate. However, parts of the OPC UA graph are time-varying, and may index large time series data sets, which are sub-optimally handled by most available SPARQL databases. We show how OPC UA can be mapped to the Semantic Web in a way that allows a hybrid approach where time series data is stored in a specialized system and describe a query rewriting approach that allows for joint queries over static OPC UA information models and time series data. Compared to existing approaches, we argue that our approach is better suited for analytics applications that require portability across infrastructure and allows a greater range of SPARQL engines. A prototype implementation called Quarry is open sourced under the Apache 2.0 license to improve the accessibility and reproducibility of this research area."
126,Research and Implementation of Publish/Subscribe Communication Model Based on OPC UA,"In recent years, intelligent manufacturing has developed rapidly. Industrial IoT technologies are applied to different industrial scenarios. OPC UA is a service-oriented architecture, which has good interoperability. At the same time, it is a cross-platform communication standard that can realize the interconnection between heterogeneous network devices and solve the problem of information silos in the industrial IoT field. However, with the gradual increase of industrial equipment, the amount of data transmission in the network is increasing. The traditional OPC UA communication method based on client/server mode has defects such as tight coupling and performance bottleneck. It cannot meet the high throughput demand of the network. Therefore, these phenomena lead to longer time delays and lower transmission efficiency of network communication systems. To solve the above problems, this paper proposes a publish/subscribe communication model based on OPC UA. We design the overall architecture of the OPC UA publish/subscribe model and adopt a message agent mechanism to realize distributed communication of OPC UA. This model has functions such as message modeling, address space construction, and publish/subscribe. The architecture of this communication model is compatible with the C/S model, which can ensure compatibility and coexistence with the traditional OPC UA communication system. Meanwhile, in order to improve the distinguished service capability of the OPC UA system, a multi-priority data scheduling algorithm is proposed and integrated into the publish/subscribe communication model to improve the efficiency of real-time data transmission in industrial networks. The experimental results show that the communication model can accomplish distributed communication in industrial networks and be better applied in wireless sensor networks. The scheduling algorithm included in the model significantly improves the efficiency of real-time data transmission and reduces the time delay."
128,Implementing OPC-UA services for Industrial Cyber-Physical Systems in Service-Oriented Architecture,"Industrial cyber-physical systems are advancing rapidly along with the emergence of the fourth industrial revolution. It is, therefore, necessary to design and develop appropriate tools and frameworks that allow the migration/integration of legacy systems into the new Industry 4.0 environment. OPC-UA is one of the recommended technologies to enable communication and interoperability of digitalized assets in Industry 4.0. This paper proposes a solution to develop an OPC-UA interface for industrial systems for service-oriented architecture. With the use of the Arrowhead Framework - a cloud-based framework facilitating interoperability and integrability of Industrial Internet of Things - and Industry 4.0-compliant technologies, the authors describe the procedure of developing different application systems which dynamically produce and consume OPC-UA services within a local automation cloud."
131,OPC UA PubSub Implementation and Configuration,"OPC UA (Open Platform Communication Unified Architecture) is one of the most widely used specifications for industrial system communication. In the context of increasingly complex technologies of the Industrial Internet of Things (IIoT) and requirements for interoperability of the Industrie 4.0, the specification is extended by adding a new communication architecture named PubSub to provide asynchronous information exchange capability. This paper introduces our OPC UA PubSub and MQTT based configuration tool, and a PubSub implementation that can be easily integrated into other C/C++ OPC UA projects."
